====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hw — 독립 창 300,000개 (19.3GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep110  loss 0.2197 (pw 0.0024 harm 1.7631)  |  MAE 3.697W  F1 0.9252  저항3종 0.993  잔차 24.9W  [6s 학습 / 0s 평가, 8,607 win/s]
  ep111  loss 0.2188 (pw 0.0024 harm 1.7541)  [6s, 8,575 win/s]
  ep112  loss 0.2205 (pw 0.0025 harm 1.7643)  [6s, 8,599 win/s]
  ep113  loss 0.2200 (pw 0.0025 harm 1.7586)  [6s, 8,615 win/s]
  ep114  loss 0.2172 (pw 0.0025 harm 1.7460)  [6s, 8,594 win/s]
  ep115  loss 0.2188 (pw 0.0024 harm 1.7640)  [6s, 8,607 win/s]
  ep116  loss 0.2193 (pw 0.0024 harm 1.7709)  [6s, 8,610 win/s]
  ep117  loss 0.2199 (pw 0.0024 harm 1.7695)  [6s, 8,622 win/s]
  ep118  loss 0.2178 (pw 0.0024 harm 1.7593)  [6s, 8,586 win/s]
  ep119  loss 0.2185 (pw 0.0024 harm 1.7800)  [6s, 8,463 win/s]
  ep120  loss 0.2153 (pw 0.0024 harm 1.7426)  |  MAE 4.449W  F1 0.9230  저항3종 0.988  잔차 26.8W  [6s 학습 / 0s 평가, 8,446 win/s]
  ep121  loss 0.2156 (pw 0.0024 harm 1.7568)  [6s, 8,521 win/s]
  ep122  loss 0.2236 (pw 0.0025 harm 1.8063)  [6s, 8,560 win/s]
  ep123  loss 0.2195 (pw 0.0023 harm 1.7839)  [6s, 8,683 win/s]
  ep124  loss 0.2174 (pw 0.0023 harm 1.7722)  [6s, 8,707 win/s]
  ep125  loss 0.2171 (pw 0.0024 harm 1.7696)  [6s, 8,677 win/s]
  ep126  loss 0.2148 (pw 0.0023 harm 1.7561)  [6s, 8,730 win/s]
  ep127  loss 0.2186 (pw 0.0024 harm 1.7756)  [6s, 8,761 win/s]
  ep128  loss 0.2177 (pw 0.0023 harm 1.7775)  [6s, 8,715 win/s]
  ep129  loss 0.2164 (pw 0.0023 harm 1.7735)  [6s, 8,636 win/s]
  ep130  loss 0.2150 (pw 0.0023 harm 1.7567)  |  MAE 4.056W  F1 0.9214  저항3종 0.989  잔차 26.3W  [6s 학습 / 0s 평가, 8,796 win/s]
  ep131  loss 0.2164 (pw 0.0023 harm 1.7861)  [6s, 8,484 win/s]
  ep132  loss 0.2171 (pw 0.0023 harm 1.7898)  [6s, 8,565 win/s]
  ep133  loss 0.2164 (pw 0.0023 harm 1.7767)  [6s, 8,544 win/s]
  ep134  loss 0.2125 (pw 0.0022 harm 1.7669)  [6s, 8,557 win/s]
  ep135  loss 0.2194 (pw 0.0024 harm 1.7776)  [6s, 8,524 win/s]
