====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_mag1 — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 91  loss 0.0721 (pw 0.0015 harm 0.3956)  [5s, 9,437 win/s]
  ep 92  loss 0.0715 (pw 0.0015 harm 0.3951)  [5s, 9,431 win/s]
  ep 93  loss 0.0711 (pw 0.0015 harm 0.3921)  [5s, 9,438 win/s]
  ep 94  loss 0.0722 (pw 0.0015 harm 0.3977)  [5s, 9,422 win/s]
  ep 95  loss 0.0712 (pw 0.0015 harm 0.3972)  [5s, 9,425 win/s]
  ep 96  loss 0.0704 (pw 0.0014 harm 0.3945)  [5s, 9,425 win/s]
  ep 97  loss 0.0694 (pw 0.0014 harm 0.3969)  [5s, 9,403 win/s]
  ep 98  loss 0.0715 (pw 0.0015 harm 0.3913)  [5s, 9,419 win/s]
  ep 99  loss 0.0712 (pw 0.0015 harm 0.3969)  [5s, 9,433 win/s]
  ep100  loss 0.0716 (pw 0.0015 harm 0.3961)  |  MAE 4.585W  F1 0.9602  저항3종 0.987  잔차 26.0W  [5s 학습 / 0s 평가, 9,423 win/s]
  ep101  loss 0.0714 (pw 0.0015 harm 0.3934)  [5s, 9,412 win/s]
  ep102  loss 0.0687 (pw 0.0014 harm 0.3945)  [5s, 9,422 win/s]
  ep103  loss 0.0680 (pw 0.0014 harm 0.3932)  [5s, 9,425 win/s]
  ep104  loss 0.0691 (pw 0.0014 harm 0.3928)  [5s, 9,424 win/s]
  ep105  loss 0.0719 (pw 0.0016 harm 0.3981)  [5s, 9,429 win/s]
  ep106  loss 0.0710 (pw 0.0015 harm 0.3934)  [5s, 9,423 win/s]
  ep107  loss 0.0698 (pw 0.0015 harm 0.3947)  [5s, 9,412 win/s]
  ep108  loss 0.0682 (pw 0.0014 harm 0.3897)  [5s, 9,427 win/s]
  ep109  loss 0.0677 (pw 0.0014 harm 0.3924)  [5s, 9,429 win/s]
  ep110  loss 0.0690 (pw 0.0014 harm 0.3901)  |  MAE 3.571W  F1 0.9624  저항3종 0.995  잔차 24.6W  [5s 학습 / 0s 평가, 9,410 win/s]
  ep111  loss 0.0696 (pw 0.0015 harm 0.3915)  [5s, 9,370 win/s]
  ep112  loss 0.0694 (pw 0.0015 harm 0.3920)  [5s, 9,440 win/s]
  ep113  loss 0.0700 (pw 0.0015 harm 0.3941)  [5s, 9,431 win/s]
  ep114  loss 0.0693 (pw 0.0015 harm 0.3968)  [5s, 9,427 win/s]
  ep115  loss 0.0695 (pw 0.0015 harm 0.3935)  [5s, 9,423 win/s]
  ep116  loss 0.0682 (pw 0.0015 harm 0.3917)  [5s, 9,388 win/s]
  ep117  loss 0.0695 (pw 0.0015 harm 0.3944)  [5s, 9,428 win/s]
  ep118  loss 0.0687 (pw 0.0015 harm 0.3936)  [5s, 9,424 win/s]
  ep119  loss 0.0667 (pw 0.0014 harm 0.3896)  [5s, 9,422 win/s]
  ep120  loss 0.0676 (pw 0.0014 harm 0.3923)  |  MAE 3.664W  F1 0.9579  저항3종 0.993  잔차 24.2W  [5s 학습 / 0s 평가, 9,428 win/s]
  ep121  loss 0.0673 (pw 0.0014 harm 0.3931)  [5s, 9,419 win/s]
  ep122  loss 0.0697 (pw 0.0015 harm 0.3944)  [5s, 9,431 win/s]
  ep123  loss 0.0672 (pw 0.0014 harm 0.3910)  [5s, 9,436 win/s]
  ep124  loss 0.0672 (pw 0.0014 harm 0.3905)  [5s, 9,428 win/s]
  ep125  loss 0.0668 (pw 0.0014 harm 0.3898)  [5s, 9,405 win/s]
  ep126  loss 0.0663 (pw 0.0014 harm 0.3903)  [5s, 9,434 win/s]
  ep127  loss 0.0680 (pw 0.0015 harm 0.3935)  [5s, 9,444 win/s]
  ep128  loss 0.0664 (pw 0.0014 harm 0.3921)  [5s, 9,427 win/s]
  ep129  loss 0.0664 (pw 0.0014 harm 0.3914)  [5s, 9,443 win/s]
  ep130  loss 0.0667 (pw 0.0014 harm 0.3941)  |  MAE 3.688W  F1 0.9614  저항3종 0.993  잔차 24.8W  [5s 학습 / 0s 평가, 9,441 win/s]
  ep131  loss 0.0650 (pw 0.0014 harm 0.3890)  [5s, 9,431 win/s]
  ep132  loss 0.0663 (pw 0.0014 harm 0.3939)  [5s, 9,440 win/s]
