====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 170752c24955c352 | 타깃 3539/3600
모델 0.60M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60 — 독립 창 300,000개 (13.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep168  loss 0.1755 (pw 0.0008 harm 1.5859)  [5s, 9,387 win/s]
  ep169  loss 0.1758 (pw 0.0008 harm 1.5849)  [5s, 9,107 win/s]
  ep170  loss 0.1753 (pw 0.0008 harm 1.5750)  |  MAE 2.983W  F1 0.9576  저항3종 0.998  잔차 24.1W  [5s 학습 / 0s 평가, 9,551 win/s]
  ep171  loss 0.1791 (pw 0.0008 harm 1.6153)  [5s, 9,554 win/s]
  ep172  loss 0.1765 (pw 0.0008 harm 1.5991)  [5s, 9,567 win/s]
  ep173  loss 0.1740 (pw 0.0008 harm 1.5830)  [5s, 9,560 win/s]
  ep174  loss 0.1797 (pw 0.0008 harm 1.6236)  [5s, 9,558 win/s]
  ep175  loss 0.1747 (pw 0.0008 harm 1.5857)  [5s, 9,554 win/s]
  ep176  loss 0.1724 (pw 0.0008 harm 1.5649)  [5s, 9,402 win/s]
  ep177  loss 0.1760 (pw 0.0008 harm 1.5886)  [5s, 9,580 win/s]
  ep178  loss 0.1749 (pw 0.0008 harm 1.5880)  [5s, 9,592 win/s]
  ep179  loss 0.1765 (pw 0.0008 harm 1.5994)  [5s, 9,588 win/s]
  ep180  loss 0.1758 (pw 0.0008 harm 1.5949)  |  MAE 3.157W  F1 0.9565  저항3종 0.998  잔차 25.1W  [5s 학습 / 0s 평가, 9,592 win/s]
  ep181  loss 0.1744 (pw 0.0008 harm 1.5753)  [5s, 9,561 win/s]
  ep182  loss 0.1745 (pw 0.0008 harm 1.5825)  [5s, 9,591 win/s]
  ep183  loss 0.1761 (pw 0.0008 harm 1.5921)  [5s, 9,454 win/s]
  ep184  loss 0.1744 (pw 0.0008 harm 1.5795)  [5s, 9,587 win/s]
  ep185  loss 0.1725 (pw 0.0008 harm 1.5716)  [5s, 9,590 win/s]
  ep186  loss 0.1731 (pw 0.0008 harm 1.5723)  [5s, 9,589 win/s]
  ep187  loss 0.1747 (pw 0.0008 harm 1.5892)  [5s, 9,585 win/s]
  ep188  loss 0.1756 (pw 0.0008 harm 1.6060)  [5s, 9,587 win/s]
  ep189  loss 0.1771 (pw 0.0008 harm 1.6061)  [5s, 9,597 win/s]
  ep190  loss 0.1746 (pw 0.0008 harm 1.5962)  |  MAE 2.965W  F1 0.9586  저항3종 0.998  잔차 24.2W  [5s 학습 / 0s 평가, 9,587 win/s]
  ep191  loss 0.1743 (pw 0.0008 harm 1.5908)  [5s, 9,592 win/s]
  ep192  loss 0.1726 (pw 0.0008 harm 1.5636)  [5s, 9,427 win/s]
  ep193  loss 0.1735 (pw 0.0008 harm 1.5718)  [5s, 9,597 win/s]
  ep194  loss 0.1749 (pw 0.0008 harm 1.5888)  [5s, 9,362 win/s]
  ep195  loss 0.1748 (pw 0.0008 harm 1.5984)  [5s, 9,319 win/s]
  ep196  loss 0.1745 (pw 0.0008 harm 1.5945)  [5s, 9,315 win/s]
