### [fd0.2] 1단계 Sat Aug 22 20:40:22     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep106  loss 0.1838 (pw 0.0017 harm 1.4419)  [5s, 9,551 win/s]
  ep107  loss 0.1863 (pw 0.0017 harm 1.4769)  [5s, 9,270 win/s]
  ep108  loss 0.1849 (pw 0.0016 harm 1.4704)  [5s, 9,111 win/s]
  ep109  loss 0.1812 (pw 0.0016 harm 1.4427)  [5s, 9,196 win/s]
  ep110  loss 0.1872 (pw 0.0017 harm 1.4845)  [5s, 9,205 win/s]
  ep111  loss 0.1836 (pw 0.0017 harm 1.4541)  [5s, 9,200 win/s]
  ep112  loss 0.1842 (pw 0.0017 harm 1.4546)  [5s, 9,111 win/s]
  ep113  loss 0.1825 (pw 0.0017 harm 1.4430)  [5s, 9,250 win/s]
  ep114  loss 0.1809 (pw 0.0016 harm 1.4322)  [5s, 9,232 win/s]
  ep115  loss 0.1843 (pw 0.0017 harm 1.4659)  [5s, 9,250 win/s]
  ep116  loss 0.1827 (pw 0.0016 harm 1.4527)  [5s, 9,185 win/s]
  ep117  loss 0.1816 (pw 0.0017 harm 1.4383)  [5s, 9,524 win/s]
  ep118  loss 0.1806 (pw 0.0016 harm 1.4323)  [5s, 9,517 win/s]
  ep119  loss 0.1845 (pw 0.0016 harm 1.4760)  [5s, 9,484 win/s]
  ep120  loss 0.1836 (pw 0.0017 harm 1.4621)  [5s, 9,400 win/s]
  ep121  loss 0.1803 (pw 0.0016 harm 1.4322)  [5s, 9,530 win/s]
  ep122  loss 0.1813 (pw 0.0017 harm 1.4326)  [5s, 9,542 win/s]
  ep123  loss 0.1806 (pw 0.0016 harm 1.4361)  [5s, 9,488 win/s]
  ep124  loss 0.1822 (pw 0.0017 harm 1.4539)  [5s, 9,331 win/s]
