====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ovh — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep117  loss 0.0950 (pw 0.0044 harm 0.4855)  [6s, 8,703 win/s]
  ep118  loss 0.0944 (pw 0.0045 harm 0.4819)  [6s, 8,696 win/s]
  ep119  loss 0.0930 (pw 0.0044 harm 0.4829)  [6s, 8,703 win/s]
  ep120  loss 0.0933 (pw 0.0045 harm 0.4822)  |  MAE 3.948W  F1 0.9269  저항3종 0.991  잔차 24.6W  [6s 학습 / 0s 평가, 8,701 win/s]
  ep121  loss 0.0925 (pw 0.0044 harm 0.4800)  [6s, 8,649 win/s]
  ep122  loss 0.0952 (pw 0.0045 harm 0.4848)  [6s, 8,730 win/s]
  ep123  loss 0.0933 (pw 0.0044 harm 0.4818)  [6s, 8,769 win/s]
  ep124  loss 0.0928 (pw 0.0044 harm 0.4819)  [6s, 8,676 win/s]
  ep125  loss 0.0919 (pw 0.0045 harm 0.4834)  [6s, 8,711 win/s]
  ep126  loss 0.0918 (pw 0.0044 harm 0.4825)  [6s, 8,736 win/s]
  ep127  loss 0.0930 (pw 0.0045 harm 0.4831)  [6s, 8,735 win/s]
  ep128  loss 0.0919 (pw 0.0044 harm 0.4806)  [6s, 8,728 win/s]
  ep129  loss 0.0914 (pw 0.0044 harm 0.4832)  [6s, 8,763 win/s]
  ep130  loss 0.0908 (pw 0.0044 harm 0.4784)  |  MAE 3.794W  F1 0.9278  저항3종 0.992  잔차 23.4W  [6s 학습 / 0s 평가, 8,768 win/s]
  ep131  loss 0.0902 (pw 0.0044 harm 0.4813)  [6s, 8,674 win/s]
  ep132  loss 0.0901 (pw 0.0044 harm 0.4803)  [6s, 8,725 win/s]
  ep133  loss 0.0904 (pw 0.0044 harm 0.4808)  [6s, 8,758 win/s]
  ep134  loss 0.0879 (pw 0.0044 harm 0.4807)  [6s, 8,672 win/s]
  ep135  loss 0.0935 (pw 0.0045 harm 0.4821)  [6s, 8,704 win/s]
  ep136  loss 0.0915 (pw 0.0045 harm 0.4783)  [6s, 8,719 win/s]
  ep137  loss 0.0912 (pw 0.0045 harm 0.4782)  [6s, 8,689 win/s]
  ep138  loss 0.0917 (pw 0.0045 harm 0.4805)  [6s, 8,405 win/s]
  ep139  loss 0.0885 (pw 0.0044 harm 0.4788)  [6s, 8,629 win/s]
  ep140  loss 0.0873 (pw 0.0044 harm 0.4763)  |  MAE 3.751W  F1 0.9271  저항3종 0.993  잔차 22.9W  [6s 학습 / 0s 평가, 8,686 win/s]
  ep141  loss 0.0914 (pw 0.0045 harm 0.4805)  [6s, 8,417 win/s]
  ep142  loss 0.0895 (pw 0.0045 harm 0.4774)  [6s, 8,550 win/s]
  ep143  loss 0.0910 (pw 0.0045 harm 0.4798)  [6s, 8,587 win/s]
  ep144  loss 0.0879 (pw 0.0044 harm 0.4784)  [6s, 8,508 win/s]
  ep145  loss 0.0882 (pw 0.0044 harm 0.4783)  [6s, 8,477 win/s]
  ep146  loss 0.0893 (pw 0.0044 harm 0.4779)  [6s, 8,663 win/s]
  ep147  loss 0.0895 (pw 0.0044 harm 0.4771)  [6s, 8,686 win/s]
  ep148  loss 0.0872 (pw 0.0045 harm 0.4773)  [6s, 8,330 win/s]
  ep149  loss 0.0873 (pw 0.0044 harm 0.4785)  [6s, 8,629 win/s]
  ep150  loss 0.0878 (pw 0.0044 harm 0.4763)  |  MAE 4.291W  F1 0.9271  저항3종 0.990  잔차 24.4W  [6s 학습 / 0s 평가, 8,666 win/s]
  ep151  loss 0.0903 (pw 0.0045 harm 0.4772)  [6s, 8,480 win/s]
  ep152  loss 0.0891 (pw 0.0044 harm 0.4760)  [6s, 8,573 win/s]
  ep153  loss 0.0880 (pw 0.0044 harm 0.4798)  [6s, 8,666 win/s]
  ep154  loss 0.0864 (pw 0.0044 harm 0.4797)  [6s, 8,600 win/s]
  ep155  loss 0.0867 (pw 0.0044 harm 0.4773)  [6s, 8,450 win/s]
  ep156  loss 0.0914 (pw 0.0046 harm 0.4785)  [6s, 8,701 win/s]
  ep157  loss 0.0879 (pw 0.0044 harm 0.4758)  [6s, 8,754 win/s]
  ep158  loss 0.0909 (pw 0.0046 harm 0.4764)  [6s, 8,468 win/s]
  ep159  loss 0.0882 (pw 0.0045 harm 0.4763)  [6s, 8,655 win/s]
  ep160  loss 0.0866 (pw 0.0045 harm 0.4759)  |  MAE 3.818W  F1 0.9296  저항3종 0.993  잔차 23.3W  [6s 학습 / 0s 평가, 8,720 win/s]
  ep161  loss 0.0880 (pw 0.0045 harm 0.4775)  [6s, 8,568 win/s]
  ep162  loss 0.0873 (pw 0.0044 harm 0.4754)  [6s, 8,450 win/s]
  ep163  loss 0.0885 (pw 0.0045 harm 0.4751)  [6s, 8,615 win/s]
  ep164  loss 0.0885 (pw 0.0045 harm 0.4778)  [6s, 8,627 win/s]
  ep165  loss 0.0873 (pw 0.0044 harm 0.4745)  [6s, 8,375 win/s]
  ep166  loss 0.0859 (pw 0.0045 harm 0.4755)  [6s, 8,604 win/s]
  ep167  loss 0.0888 (pw 0.0045 harm 0.4756)  [6s, 8,686 win/s]
  ep168  loss 0.0862 (pw 0.0045 harm 0.4750)  [6s, 8,419 win/s]
  ep169  loss 0.0876 (pw 0.0045 harm 0.4768)  [6s, 8,553 win/s]
  ep170  loss 0.0876 (pw 0.0045 harm 0.4758)  |  MAE 3.531W  F1 0.9297  저항3종 0.993  잔차 22.9W  [6s 학습 / 0s 평가, 8,690 win/s]
  ep171  loss 0.0871 (pw 0.0045 harm 0.4779)  [6s, 8,641 win/s]
  ep172  loss 0.0862 (pw 0.0044 harm 0.4737)  [6s, 8,483 win/s]
  ep173  loss 0.0841 (pw 0.0045 harm 0.4738)  [6s, 8,636 win/s]
  ep174  loss 0.0868 (pw 0.0044 harm 0.4765)  [6s, 8,650 win/s]
  ep175  loss 0.0857 (pw 0.0044 harm 0.4740)  [6s, 8,355 win/s]
  ep176  loss 0.0854 (pw 0.0045 harm 0.4758)  [6s, 8,611 win/s]
  ep177  loss 0.0870 (pw 0.0045 harm 0.4746)  [6s, 8,649 win/s]
  ep178  loss 0.0859 (pw 0.0045 harm 0.4751)  [6s, 8,511 win/s]
  ep179  loss 0.0859 (pw 0.0045 harm 0.4752)  [6s, 8,536 win/s]
  ep180  loss 0.0847 (pw 0.0045 harm 0.4728)  |  MAE 3.557W  F1 0.9296  저항3종 0.992  잔차 22.2W  [6s 학습 / 0s 평가, 7,987 win/s]
  ep181  loss 0.0860 (pw 0.0045 harm 0.4732)  [6s, 8,338 win/s]
  ep182  loss 0.0859 (pw 0.0044 harm 0.4761)  [6s, 8,368 win/s]
  ep183  loss 0.0865 (pw 0.0045 harm 0.4735)  [6s, 8,673 win/s]
  ep184  loss 0.0860 (pw 0.0045 harm 0.4729)  [6s, 8,651 win/s]
  ep185  loss 0.0842 (pw 0.0045 harm 0.4729)  [6s, 8,645 win/s]
  ep186  loss 0.0842 (pw 0.0045 harm 0.4731)  [6s, 8,714 win/s]
  ep187  loss 0.0852 (pw 0.0045 harm 0.4724)  [6s, 8,637 win/s]
  ep188  loss 0.0837 (pw 0.0044 harm 0.4748)  [6s, 8,668 win/s]
  ep189  loss 0.0851 (pw 0.0045 harm 0.4732)  [6s, 8,601 win/s]
  ep190  loss 0.0831 (pw 0.0044 harm 0.4721)  |  MAE 4.345W  F1 0.9274  저항3종 0.990  잔차 24.4W  [6s 학습 / 0s 평가, 8,655 win/s]
  ep191  loss 0.0835 (pw 0.0045 harm 0.4729)  [6s, 8,602 win/s]
  ep192  loss 0.0850 (pw 0.0045 harm 0.4737)  [6s, 8,695 win/s]
  ep193  loss 0.0856 (pw 0.0045 harm 0.4747)  [6s, 8,686 win/s]
  ep194  loss 0.0846 (pw 0.0045 harm 0.4710)  [6s, 8,605 win/s]
