====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_psresistive — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep111  loss 0.2180 (pw 0.0023 harm 1.7549)  [6s, 8,980 win/s]
  ep112  loss 0.2196 (pw 0.0023 harm 1.7662)  [6s, 8,976 win/s]
  ep113  loss 0.2191 (pw 0.0023 harm 1.7587)  [6s, 8,988 win/s]
  ep114  loss 0.2162 (pw 0.0023 harm 1.7446)  [6s, 8,984 win/s]
  ep115  loss 0.2182 (pw 0.0023 harm 1.7629)  [6s, 8,993 win/s]
  ep116  loss 0.2186 (pw 0.0022 harm 1.7717)  [6s, 8,983 win/s]
  ep117  loss 0.2185 (pw 0.0022 harm 1.7699)  [6s, 8,980 win/s]
  ep118  loss 0.2171 (pw 0.0023 harm 1.7571)  [6s, 8,984 win/s]
  ep119  loss 0.2173 (pw 0.0022 harm 1.7786)  [6s, 8,975 win/s]
  ep120  loss 0.2142 (pw 0.0022 harm 1.7442)  |  MAE 3.517W  F1 0.9278  저항3종 0.991  잔차 25.0W  [6s 학습 / 0s 평가, 8,978 win/s]
  ep121  loss 0.2148 (pw 0.0022 harm 1.7537)  [6s, 8,873 win/s]
  ep122  loss 0.2222 (pw 0.0023 harm 1.8051)  [6s, 8,330 win/s]
  ep123  loss 0.2185 (pw 0.0022 harm 1.7819)  [6s, 8,578 win/s]
  ep124  loss 0.2168 (pw 0.0022 harm 1.7722)  [6s, 8,735 win/s]
  ep125  loss 0.2162 (pw 0.0022 harm 1.7709)  [6s, 8,957 win/s]
  ep126  loss 0.2144 (pw 0.0022 harm 1.7592)  [6s, 8,971 win/s]
  ep127  loss 0.2170 (pw 0.0022 harm 1.7745)  [6s, 8,968 win/s]
  ep128  loss 0.2163 (pw 0.0021 harm 1.7755)  [6s, 8,919 win/s]
  ep129  loss 0.2151 (pw 0.0022 harm 1.7707)  [6s, 8,933 win/s]
  ep130  loss 0.2142 (pw 0.0022 harm 1.7566)  |  MAE 3.993W  F1 0.9272  저항3종 0.981  잔차 24.6W  [6s 학습 / 0s 평가, 8,948 win/s]
  ep131  loss 0.2155 (pw 0.0021 harm 1.7848)  [6s, 8,948 win/s]
  ep132  loss 0.2158 (pw 0.0021 harm 1.7877)  [6s, 8,961 win/s]
  ep133  loss 0.2151 (pw 0.0021 harm 1.7760)  [6s, 8,952 win/s]
  ep134  loss 0.2117 (pw 0.0021 harm 1.7644)  [6s, 8,946 win/s]
  ep135  loss 0.2176 (pw 0.0022 harm 1.7759)  [6s, 8,910 win/s]
  ep136  loss 0.2151 (pw 0.0023 harm 1.7608)  [6s, 8,938 win/s]
  ep137  loss 0.2131 (pw 0.0022 harm 1.7454)  [6s, 8,943 win/s]
  ep138  loss 0.2145 (pw 0.0022 harm 1.7582)  [6s, 8,935 win/s]
  ep139  loss 0.2121 (pw 0.0021 harm 1.7645)  [6s, 8,942 win/s]
  ep140  loss 0.2097 (pw 0.0021 harm 1.7495)  |  MAE 3.561W  F1 0.9286  저항3종 0.989  잔차 23.8W  [6s 학습 / 0s 평가, 8,954 win/s]
  ep141  loss 0.2142 (pw 0.0022 harm 1.7547)  [6s, 8,942 win/s]
  ep142  loss 0.2139 (pw 0.0021 harm 1.7681)  [6s, 8,944 win/s]
  ep143  loss 0.2145 (pw 0.0021 harm 1.7665)  [6s, 8,959 win/s]
  ep144  loss 0.2102 (pw 0.0021 harm 1.7503)  [6s, 8,967 win/s]
  ep145  loss 0.2141 (pw 0.0021 harm 1.7875)  [6s, 8,934 win/s]
  ep146  loss 0.2126 (pw 0.0021 harm 1.7606)  [6s, 8,919 win/s]
  ep147  loss 0.2124 (pw 0.0021 harm 1.7610)  [6s, 8,904 win/s]
  ep148  loss 0.2109 (pw 0.0021 harm 1.7654)  [6s, 8,958 win/s]
  ep149  loss 0.2100 (pw 0.0021 harm 1.7533)  [6s, 8,958 win/s]
  ep150  loss 0.2104 (pw 0.0021 harm 1.7574)  |  MAE 3.474W  F1 0.9303  저항3종 0.992  잔차 24.6W  [6s 학습 / 0s 평가, 8,957 win/s]
  ep151  loss 0.2155 (pw 0.0021 harm 1.7802)  [6s, 8,941 win/s]
  ep152  loss 0.2132 (pw 0.0021 harm 1.7725)  [6s, 8,937 win/s]
  ep153  loss 0.2124 (pw 0.0021 harm 1.7757)  [6s, 8,944 win/s]
  ep154  loss 0.2098 (pw 0.0020 harm 1.7663)  [6s, 8,936 win/s]
  ep155  loss 0.2091 (pw 0.0021 harm 1.7500)  [6s, 8,942 win/s]
  ep156  loss 0.2179 (pw 0.0022 harm 1.7936)  [6s, 8,936 win/s]
  ep157  loss 0.2119 (pw 0.0020 harm 1.7705)  [6s, 8,938 win/s]
  ep158  loss 0.2152 (pw 0.0022 harm 1.7711)  [6s, 8,914 win/s]
  ep159  loss 0.2103 (pw 0.0021 harm 1.7517)  [6s, 8,933 win/s]
  ep160  loss 0.2099 (pw 0.0020 harm 1.7597)  |  MAE 3.505W  F1 0.9303  저항3종 0.991  잔차 24.5W  [6s 학습 / 0s 평가, 8,933 win/s]
  ep161  loss 0.2112 (pw 0.0021 harm 1.7648)  [6s, 8,937 win/s]
  ep162  loss 0.2117 (pw 0.0020 harm 1.7734)  [6s, 8,948 win/s]
  ep163  loss 0.2118 (pw 0.0021 harm 1.7574)  [6s, 8,924 win/s]
  ep164  loss 0.2123 (pw 0.0021 harm 1.7638)  [6s, 8,948 win/s]
  ep165  loss 0.2113 (pw 0.0020 harm 1.7672)  [6s, 8,951 win/s]
  ep166  loss 0.2090 (pw 0.0020 harm 1.7580)  [6s, 8,928 win/s]
  ep167  loss 0.2122 (pw 0.0021 harm 1.7607)  [6s, 8,925 win/s]
  ep168  loss 0.2106 (pw 0.0021 harm 1.7740)  [6s, 8,943 win/s]
  ep169  loss 0.2106 (pw 0.0021 harm 1.7576)  [6s, 8,943 win/s]
  ep170  loss 0.2103 (pw 0.0021 harm 1.7561)  |  MAE 3.391W  F1 0.9312  저항3종 0.990  잔차 24.4W  [6s 학습 / 0s 평가, 8,938 win/s]
  ep171  loss 0.2121 (pw 0.0021 harm 1.7742)  [6s, 8,934 win/s]
  ep172  loss 0.2121 (pw 0.0020 harm 1.7848)  [6s, 8,942 win/s]
  ep173  loss 0.2072 (pw 0.0020 harm 1.7564)  [6s, 8,930 win/s]
  ep174  loss 0.2119 (pw 0.0020 harm 1.7781)  [6s, 8,958 win/s]
  ep175  loss 0.2108 (pw 0.0020 harm 1.7771)  [6s, 8,960 win/s]
  ep176  loss 0.2095 (pw 0.0020 harm 1.7700)  [6s, 8,959 win/s]
  ep177  loss 0.2104 (pw 0.0020 harm 1.7640)  [6s, 8,961 win/s]
  ep178  loss 0.2107 (pw 0.0020 harm 1.7775)  [6s, 8,952 win/s]
  ep179  loss 0.2098 (pw 0.0020 harm 1.7651)  [6s, 8,959 win/s]
  ep180  loss 0.2068 (pw 0.0020 harm 1.7445)  |  MAE 3.366W  F1 0.9303  저항3종 0.991  잔차 24.2W  [6s 학습 / 0s 평가, 8,952 win/s]
  ep181  loss 0.2101 (pw 0.0021 harm 1.7659)  [6s, 8,936 win/s]
  ep182  loss 0.2105 (pw 0.0020 harm 1.7726)  [6s, 8,950 win/s]
  ep183  loss 0.2121 (pw 0.0020 harm 1.7846)  [6s, 8,946 win/s]
  ep184  loss 0.2108 (pw 0.0020 harm 1.7766)  [6s, 8,937 win/s]
  ep185  loss 0.2095 (pw 0.0020 harm 1.7800)  [6s, 8,945 win/s]
  ep186  loss 0.2087 (pw 0.0020 harm 1.7682)  [6s, 8,910 win/s]
  ep187  loss 0.2102 (pw 0.0020 harm 1.7781)  [6s, 8,957 win/s]
  ep188  loss 0.2088 (pw 0.0019 harm 1.7794)  [6s, 8,953 win/s]
  ep189  loss 0.2083 (pw 0.0020 harm 1.7604)  [6s, 8,960 win/s]
  ep190  loss 0.2056 (pw 0.0020 harm 1.7513)  |  MAE 3.535W  F1 0.9312  저항3종 0.988  잔차 24.6W  [6s 학습 / 0s 평가, 8,959 win/s]
  ep191  loss 0.2054 (pw 0.0020 harm 1.7468)  [6s, 8,933 win/s]
  ep192  loss 0.2099 (pw 0.0021 harm 1.7741)  [6s, 8,959 win/s]
  ep193  loss 0.2096 (pw 0.0020 harm 1.7641)  [6s, 8,942 win/s]
  ep194  loss 0.2102 (pw 0.0020 harm 1.7804)  [6s, 8,955 win/s]
  ep195  loss 0.2083 (pw 0.0020 harm 1.7757)  [6s, 8,929 win/s]
  ep196  loss 0.2085 (pw 0.0019 harm 1.7754)  [6s, 8,955 win/s]
  ep197  loss 0.2065 (pw 0.0020 harm 1.7508)  [6s, 8,922 win/s]
  ep198  loss 0.2112 (pw 0.0020 harm 1.7744)  [6s, 8,939 win/s]
  ep199  loss 0.2091 (pw 0.0020 harm 1.7785)  [6s, 8,933 win/s]
  ep200  loss 0.2041 (pw 0.0019 harm 1.7433)  |  MAE 3.655W  F1 0.9319  저항3종 0.984  잔차 24.7W  [6s 학습 / 0s 평가, 8,942 win/s]
  ep201  loss 0.2086 (pw 0.0019 harm 1.7778)  [6s, 8,963 win/s]
  ep202  loss 0.2085 (pw 0.0020 harm 1.7714)  [6s, 8,960 win/s]
  ep203  loss 0.2083 (pw 0.0019 harm 1.7825)  [6s, 8,953 win/s]
  ep204  loss 0.2086 (pw 0.0019 harm 1.7749)  [6s, 8,955 win/s]
  ep205  loss 0.2072 (pw 0.0019 harm 1.7713)  [6s, 8,941 win/s]
  ep206  loss 0.2070 (pw 0.0019 harm 1.7700)  [6s, 8,932 win/s]
  ep207  loss 0.2057 (pw 0.0020 harm 1.7447)  [6s, 8,937 win/s]
  ep208  loss 0.2057 (pw 0.0019 harm 1.7518)  [6s, 8,930 win/s]
  ep209  loss 0.2060 (pw 0.0019 harm 1.7622)  [6s, 8,924 win/s]
  ep210  loss 0.2047 (pw 0.0019 harm 1.7520)  |  MAE 3.329W  F1 0.9321  저항3종 0.990  잔차 24.4W  [6s 학습 / 0s 평가, 8,939 win/s]
  ep211  loss 0.2057 (pw 0.0019 harm 1.7602)  [6s, 8,935 win/s]
  ep212  loss 0.2042 (pw 0.0019 harm 1.7506)  [6s, 8,933 win/s]
  ep213  loss 0.2067 (pw 0.0019 harm 1.7724)  [6s, 8,931 win/s]
  ep214  loss 0.2054 (pw 0.0019 harm 1.7678)  [6s, 8,926 win/s]
  ep215  loss 0.2063 (pw 0.0019 harm 1.7693)  [6s, 8,942 win/s]
  ep216  loss 0.2075 (pw 0.0019 harm 1.7754)  [6s, 8,952 win/s]
  ep217  loss 0.2039 (pw 0.0019 harm 1.7527)  [6s, 8,952 win/s]
  ep218  loss 0.2065 (pw 0.0019 harm 1.7668)  [6s, 8,945 win/s]
  ep219  loss 0.2069 (pw 0.0019 harm 1.7714)  [6s, 8,948 win/s]
  ep220  loss 0.2069 (pw 0.0019 harm 1.7745)  |  MAE 3.455W  F1 0.9319  저항3종 0.991  잔차 24.6W  [6s 학습 / 0s 평가, 8,947 win/s]
  ep221  loss 0.2063 (pw 0.0019 harm 1.7647)  [6s, 8,938 win/s]
  ep222  loss 0.2048 (pw 0.0019 harm 1.7647)  [6s, 8,926 win/s]
  ep223  loss 0.2074 (pw 0.0019 harm 1.7692)  [6s, 8,925 win/s]
  ep224  loss 0.2058 (pw 0.0019 harm 1.7695)  [6s, 8,919 win/s]
  ep225  loss 0.2042 (pw 0.0019 harm 1.7598)  [6s, 8,928 win/s]
  ep226  loss 0.2026 (pw 0.0019 harm 1.7389)  [6s, 8,932 win/s]
  ep227  loss 0.2054 (pw 0.0019 harm 1.7708)  [6s, 8,954 win/s]
  ep228  loss 0.2066 (pw 0.0019 harm 1.7816)  [6s, 8,962 win/s]
  ep229  loss 0.2061 (pw 0.0019 harm 1.7613)  [6s, 8,965 win/s]
  ep230  loss 0.2066 (pw 0.0019 harm 1.7629)  |  MAE 3.847W  F1 0.9297  저항3종 0.981  잔차 24.3W  [6s 학습 / 0s 평가, 8,956 win/s]
  ep231  loss 0.2031 (pw 0.0019 harm 1.7500)  [6s, 8,952 win/s]
  ep232  loss 0.2054 (pw 0.0019 harm 1.7718)  [6s, 8,956 win/s]
  ep233  loss 0.2051 (pw 0.0019 harm 1.7580)  [6s, 8,961 win/s]
  ep234  loss 0.2059 (pw 0.0019 harm 1.7706)  [6s, 8,957 win/s]
  ep235  loss 0.2031 (pw 0.0019 harm 1.7584)  [6s, 8,960 win/s]
  ep236  loss 0.2055 (pw 0.0019 harm 1.7705)  [6s, 8,950 win/s]
  ep237  loss 0.2030 (pw 0.0018 harm 1.7609)  [6s, 8,950 win/s]
  ep238  loss 0.2067 (pw 0.0019 harm 1.7697)  [6s, 8,956 win/s]
  ep239  loss 0.2036 (pw 0.0018 harm 1.7627)  [6s, 8,949 win/s]
  ep240  loss 0.2066 (pw 0.0019 harm 1.7752)  |  MAE 3.643W  F1 0.9310  저항3종 0.984  잔차 24.4W  [6s 학습 / 0s 평가, 8,933 win/s]
  ep241  loss 0.2043 (pw 0.0019 harm 1.7556)  [6s, 8,959 win/s]
  ep242  loss 0.2049 (pw 0.0018 harm 1.7714)  [6s, 8,959 win/s]
  ep243  loss 0.2040 (pw 0.0019 harm 1.7666)  [6s, 8,949 win/s]
  ep244  loss 0.2054 (pw 0.0018 harm 1.7758)  [6s, 8,948 win/s]
  ep245  loss 0.2021 (pw 0.0019 harm 1.7490)  [6s, 8,948 win/s]
  ep246  loss 0.2032 (pw 0.0019 harm 1.7497)  [6s, 8,940 win/s]
  ep247  loss 0.2021 (pw 0.0018 harm 1.7487)  [6s, 8,942 win/s]
  ep248  loss 0.2080 (pw 0.0019 harm 1.7943)  [6s, 8,961 win/s]
  ep249  loss 0.2038 (pw 0.0018 harm 1.7577)  [6s, 8,965 win/s]
  ep250  loss 0.2041 (pw 0.0019 harm 1.7667)  |  MAE 3.919W  F1 0.9298  저항3종 0.979  잔차 24.6W  [6s 학습 / 0s 평가, 8,954 win/s]
  ep251  loss 0.2045 (pw 0.0019 harm 1.7613)  [6s, 8,946 win/s]
  ep252  loss 0.2059 (pw 0.0019 harm 1.7859)  [6s, 8,943 win/s]
  ep253  loss 0.2021 (pw 0.0018 harm 1.7493)  [6s, 8,950 win/s]
  ep254  loss 0.2065 (pw 0.0019 harm 1.7885)  [6s, 8,954 win/s]
  ep255  loss 0.2056 (pw 0.0018 harm 1.7767)  [6s, 8,956 win/s]
  ep256  loss 0.2033 (pw 0.0018 harm 1.7646)  [6s, 8,937 win/s]
  ep257  loss 0.2040 (pw 0.0019 harm 1.7600)  [6s, 8,929 win/s]
  ep258  loss 0.2043 (pw 0.0019 harm 1.7610)  [6s, 8,921 win/s]
  ep259  loss 0.2041 (pw 0.0018 harm 1.7638)  [6s, 8,924 win/s]
  ep260  loss 0.2054 (pw 0.0018 harm 1.7814)  |  MAE 3.807W  F1 0.9298  저항3종 0.980  잔차 24.3W  [6s 학습 / 0s 평가, 8,920 win/s]
  ep261  loss 0.2046 (pw 0.0018 harm 1.7690)  [6s, 8,918 win/s]
