====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
  ** 세밀 채널 [50] 를 0 으로 (조인 대조, 12.114 재시험) **
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hw2 — 독립 창 300,000개 (19.3GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 73  loss 0.1009 (pw 0.0044 harm 0.4912)  [5s, 9,596 win/s]
  ep 74  loss 0.1041 (pw 0.0045 harm 0.4931)  [5s, 9,602 win/s]
  ep 75  loss 0.1030 (pw 0.0045 harm 0.4922)  [5s, 9,602 win/s]
  ep 76  loss 0.1031 (pw 0.0045 harm 0.4930)  [5s, 9,601 win/s]
  ep 77  loss 0.1015 (pw 0.0044 harm 0.4930)  [5s, 9,599 win/s]
  ep 78  loss 0.1011 (pw 0.0044 harm 0.4944)  [5s, 9,597 win/s]
  ep 79  loss 0.0997 (pw 0.0044 harm 0.4902)  [5s, 9,604 win/s]
  ep 80  loss 0.1016 (pw 0.0045 harm 0.4916)  |  MAE 4.030W  F1 0.9279  저항3종 0.995  잔차 24.7W  [5s 학습 / 0s 평가, 9,598 win/s]
  ep 81  loss 0.1025 (pw 0.0046 harm 0.4892)  [5s, 9,605 win/s]
  ep 82  loss 0.1015 (pw 0.0045 harm 0.4891)  [5s, 9,599 win/s]
  ep 83  loss 0.0994 (pw 0.0044 harm 0.4876)  [5s, 9,600 win/s]
  ep 84  loss 0.0995 (pw 0.0045 harm 0.4912)  [5s, 9,604 win/s]
  ep 85  loss 0.0982 (pw 0.0044 harm 0.4882)  [5s, 9,600 win/s]
  ep 86  loss 0.1013 (pw 0.0045 harm 0.4906)  [5s, 9,608 win/s]
  ep 87  loss 0.1006 (pw 0.0045 harm 0.4899)  [5s, 9,601 win/s]
  ep 88  loss 0.0984 (pw 0.0045 harm 0.4860)  [5s, 9,586 win/s]
