### 시드 스윕 시작 Sat Aug 22 23:27:26     2026  — 짝지은 설계: 같은 시드로 base(fd0) 와 fd0.2 를 함께
### [sw_base_s1] 1단계 Sat Aug 22 23:27:26     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 99  loss 0.1662 (pw 0.0009 harm 1.4236)  [5s, 9,153 win/s]
  ep100  loss 0.1645 (pw 0.0009 harm 1.4172)  |  MAE 3.264W  F1 0.9743  저항3종 1.000  잔차 27.0W  [5s 학습 / 0s 평가, 9,151 win/s]
  ep101  loss 0.1679 (pw 0.0009 harm 1.4451)  [6s, 9,069 win/s]
  ep102  loss 0.1656 (pw 0.0009 harm 1.4215)  [5s, 9,091 win/s]
  ep103  loss 0.1690 (pw 0.0009 harm 1.4580)  [5s, 9,140 win/s]
  ep104  loss 0.1649 (pw 0.0009 harm 1.4229)  [5s, 9,161 win/s]
  ep105  loss 0.1655 (pw 0.0009 harm 1.4233)  [5s, 9,140 win/s]
  ep106  loss 0.1680 (pw 0.0009 harm 1.4488)  [6s, 8,942 win/s]
  ep107  loss 0.1637 (pw 0.0009 harm 1.4127)  [6s, 8,799 win/s]
  ep108  loss 0.1645 (pw 0.0009 harm 1.4269)  [6s, 8,686 win/s]
  ep109  loss 0.1636 (pw 0.0009 harm 1.4134)  [6s, 8,646 win/s]
  ep110  loss 0.1663 (pw 0.0009 harm 1.4386)  [6s, 8,735 win/s]
  ep111  loss 0.1639 (pw 0.0009 harm 1.4220)  [6s, 8,970 win/s]
  ep112  loss 0.1658 (pw 0.0009 harm 1.4438)  [6s, 9,060 win/s]
  ep113  loss 0.1660 (pw 0.0009 harm 1.4382)  [6s, 8,692 win/s]
  ep114  loss 0.1650 (pw 0.0009 harm 1.4317)  [6s, 8,764 win/s]
  ep115  loss 0.1624 (pw 0.0009 harm 1.4090)  [6s, 8,852 win/s]
  ep116  loss 0.1622 (pw 0.0009 harm 1.4090)  [6s, 8,831 win/s]
  ep117  loss 0.1633 (pw 0.0009 harm 1.4143)  [6s, 8,628 win/s]
  ep118  loss 0.1639 (pw 0.0009 harm 1.4266)  [5s, 9,098 win/s]
  ep119  loss 0.1654 (pw 0.0009 harm 1.4441)  [5s, 9,138 win/s]
  ep120  loss 0.1638 (pw 0.0009 harm 1.4372)  [5s, 9,144 win/s]
  ep121  loss 0.1609 (pw 0.0009 harm 1.4006)  [5s, 9,111 win/s]
  ep122  loss 0.1639 (pw 0.0009 harm 1.4273)  [5s, 9,131 win/s]
  ep123  loss 0.1626 (pw 0.0009 harm 1.4153)  [5s, 9,159 win/s]
  ep124  loss 0.1654 (pw 0.0009 harm 1.4354)  [5s, 9,111 win/s]
  ep125  loss 0.1647 (pw 0.0009 harm 1.4429)  [5s, 9,129 win/s]
  ep126  loss 0.1650 (pw 0.0009 harm 1.4477)  [5s, 9,105 win/s]
  ep127  loss 0.1653 (pw 0.0009 harm 1.4492)  [6s, 9,043 win/s]
  ep128  loss 0.1618 (pw 0.0009 harm 1.4132)  [5s, 9,162 win/s]
  ep129  loss 0.1612 (pw 0.0009 harm 1.4116)  [5s, 9,144 win/s]
  ep130  loss 0.1637 (pw 0.0009 harm 1.4307)  [6s, 9,065 win/s]
  ep131  loss 0.1641 (pw 0.0009 harm 1.4408)  [6s, 9,046 win/s]
  ep132  loss 0.1641 (pw 0.0009 harm 1.4452)  [6s, 9,013 win/s]
  ep133  loss 0.1607 (pw 0.0008 harm 1.4113)  [5s, 9,111 win/s]
  ep134  loss 0.1622 (pw 0.0009 harm 1.4254)  [5s, 9,147 win/s]
  ep135  loss 0.1634 (pw 0.0009 harm 1.4378)  [5s, 9,132 win/s]
  ep136  loss 0.1622 (pw 0.0009 harm 1.4284)  [5s, 9,172 win/s]
  ep137  loss 0.1610 (pw 0.0009 harm 1.4163)  [5s, 9,172 win/s]
