====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hw2 — 독립 창 300,000개 (19.3GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep120  loss 0.0935 (pw 0.0045 harm 0.4829)  |  MAE 4.169W  F1 0.9231  저항3종 0.988  잔차 25.4W  [5s 학습 / 0s 평가, 9,488 win/s]
  ep121  loss 0.0924 (pw 0.0045 harm 0.4805)  [5s, 9,521 win/s]
  ep122  loss 0.0954 (pw 0.0046 harm 0.4852)  [5s, 9,454 win/s]
  ep123  loss 0.0936 (pw 0.0045 harm 0.4831)  [5s, 9,477 win/s]
  ep124  loss 0.0923 (pw 0.0044 harm 0.4813)  [5s, 9,439 win/s]
  ep125  loss 0.0924 (pw 0.0045 harm 0.4838)  [5s, 9,516 win/s]
  ep126  loss 0.0921 (pw 0.0044 harm 0.4839)  [5s, 9,436 win/s]
  ep127  loss 0.0930 (pw 0.0045 harm 0.4827)  [5s, 9,478 win/s]
  ep128  loss 0.0919 (pw 0.0044 harm 0.4812)  [5s, 9,412 win/s]
  ep129  loss 0.0915 (pw 0.0045 harm 0.4823)  [5s, 9,558 win/s]
  ep130  loss 0.0915 (pw 0.0045 harm 0.4789)  |  MAE 5.770W  F1 0.9175  저항3종 0.970  잔차 27.5W  [5s 학습 / 0s 평가, 9,358 win/s]
  ep131  loss 0.0899 (pw 0.0044 harm 0.4809)  [5s, 9,530 win/s]
  ep132  loss 0.0902 (pw 0.0045 harm 0.4811)  [5s, 9,423 win/s]
  ep133  loss 0.0906 (pw 0.0044 harm 0.4805)  [5s, 9,525 win/s]
  ep134  loss 0.0886 (pw 0.0044 harm 0.4813)  [5s, 9,394 win/s]
  ep135  loss 0.0936 (pw 0.0045 harm 0.4820)  [5s, 9,502 win/s]
  ep136  loss 0.0922 (pw 0.0046 harm 0.4785)  [5s, 9,447 win/s]
  ep137  loss 0.0918 (pw 0.0045 harm 0.4787)  [5s, 9,499 win/s]
  ep138  loss 0.0919 (pw 0.0045 harm 0.4803)  [5s, 9,409 win/s]
  ep139  loss 0.0887 (pw 0.0045 harm 0.4795)  [5s, 9,500 win/s]
  ep140  loss 0.0873 (pw 0.0044 harm 0.4763)  |  MAE 3.924W  F1 0.9232  저항3종 0.991  잔차 23.9W  [5s 학습 / 0s 평가, 9,490 win/s]
  ep141  loss 0.0915 (pw 0.0045 harm 0.4804)  [5s, 9,415 win/s]
  ep142  loss 0.0892 (pw 0.0045 harm 0.4778)  [5s, 9,458 win/s]
  ep143  loss 0.0907 (pw 0.0045 harm 0.4801)  [5s, 9,482 win/s]
  ep144  loss 0.0878 (pw 0.0045 harm 0.4790)  [5s, 9,522 win/s]
  ep145  loss 0.0883 (pw 0.0045 harm 0.4793)  [5s, 9,352 win/s]
  ep146  loss 0.0892 (pw 0.0045 harm 0.4774)  [5s, 9,476 win/s]
  ep147  loss 0.0888 (pw 0.0044 harm 0.4765)  [5s, 9,415 win/s]
  ep148  loss 0.0867 (pw 0.0045 harm 0.4775)  [5s, 9,554 win/s]
  ep149  loss 0.0874 (pw 0.0044 harm 0.4785)  [5s, 9,349 win/s]
  ep150  loss 0.0876 (pw 0.0044 harm 0.4759)  |  MAE 5.358W  F1 0.9189  저항3종 0.981  잔차 27.4W  [5s 학습 / 0s 평가, 9,496 win/s]
  ep151  loss 0.0900 (pw 0.0044 harm 0.4772)  [5s, 9,448 win/s]
  ep152  loss 0.0892 (pw 0.0045 harm 0.4763)  [5s, 9,467 win/s]
  ep153  loss 0.0875 (pw 0.0044 harm 0.4792)  [5s, 9,374 win/s]
  ep154  loss 0.0861 (pw 0.0044 harm 0.4787)  [5s, 9,496 win/s]
  ep155  loss 0.0865 (pw 0.0044 harm 0.4777)  [5s, 9,437 win/s]
  ep156  loss 0.0920 (pw 0.0046 harm 0.4794)  [5s, 9,369 win/s]
  ep157  loss 0.0879 (pw 0.0044 harm 0.4752)  [5s, 9,429 win/s]
