====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ov — 독립 창 300,000개 (18.2GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep100  loss 0.1610 (pw 0.0009 harm 1.3846)  |  MAE 3.201W  F1 0.9768  저항3종 1.000  잔차 26.0W  [6s 학습 / 0s 평가, 8,718 win/s]
  ep101  loss 0.1592 (pw 0.0009 harm 1.3625)  [6s, 8,601 win/s]
  ep102  loss 0.1589 (pw 0.0009 harm 1.3645)  [6s, 8,450 win/s]
  ep103  loss 0.1626 (pw 0.0009 harm 1.4017)  [6s, 8,332 win/s]
  ep104  loss 0.1590 (pw 0.0009 harm 1.3671)  [6s, 8,625 win/s]
  ep105  loss 0.1617 (pw 0.0009 harm 1.3900)  [6s, 8,927 win/s]
  ep106  loss 0.1617 (pw 0.0009 harm 1.3902)  [6s, 8,697 win/s]
  ep107  loss 0.1608 (pw 0.0009 harm 1.3851)  [6s, 8,720 win/s]
  ep108  loss 0.1592 (pw 0.0009 harm 1.3702)  [6s, 8,561 win/s]
  ep109  loss 0.1598 (pw 0.0009 harm 1.3830)  [6s, 8,612 win/s]
  ep110  loss 0.1573 (pw 0.0009 harm 1.3514)  |  MAE 3.266W  F1 0.9742  저항3종 1.000  잔차 26.0W  [6s 학습 / 0s 평가, 8,504 win/s]
  ep111  loss 0.1580 (pw 0.0009 harm 1.3631)  [6s, 8,612 win/s]
  ep112  loss 0.1609 (pw 0.0009 harm 1.3972)  [6s, 9,001 win/s]
  ep113  loss 0.1603 (pw 0.0009 harm 1.3881)  [6s, 8,894 win/s]
  ep114  loss 0.1593 (pw 0.0009 harm 1.3769)  [6s, 8,500 win/s]
  ep115  loss 0.1580 (pw 0.0009 harm 1.3688)  [6s, 8,480 win/s]
  ep116  loss 0.1627 (pw 0.0009 harm 1.4135)  [6s, 8,833 win/s]
