====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_smpsx — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep182  loss 0.0727 (pw 0.0044 harm 0.4418)  [6s, 8,258 win/s]
  ep183  loss 0.0744 (pw 0.0045 harm 0.4452)  [6s, 7,930 win/s]
  ep184  loss 0.0736 (pw 0.0044 harm 0.4422)  [6s, 8,425 win/s]
  ep185  loss 0.0716 (pw 0.0044 harm 0.4424)  [6s, 7,907 win/s]
  ep186  loss 0.0721 (pw 0.0044 harm 0.4441)  [6s, 8,065 win/s]
  ep187  loss 0.0721 (pw 0.0043 harm 0.4415)  [6s, 8,154 win/s]
  ep188  loss 0.0710 (pw 0.0043 harm 0.4446)  [6s, 7,837 win/s]
  ep189  loss 0.0728 (pw 0.0044 harm 0.4412)  [6s, 8,354 win/s]
  ep190  loss 0.0707 (pw 0.0043 harm 0.4431)  |  MAE 3.447W  F1 0.9672  저항3종 0.995  잔차 22.1W  [6s 학습 / 0s 평가, 7,889 win/s]
  ep191  loss 0.0714 (pw 0.0043 harm 0.4432)  [6s, 8,222 win/s]
  ep192  loss 0.0727 (pw 0.0044 harm 0.4427)  [6s, 8,120 win/s]
  ep193  loss 0.0733 (pw 0.0044 harm 0.4420)  [6s, 7,963 win/s]
  ep194  loss 0.0724 (pw 0.0044 harm 0.4415)  [6s, 8,415 win/s]
  ep195  loss 0.0707 (pw 0.0043 harm 0.4425)  [6s, 7,760 win/s]
  ep196  loss 0.0715 (pw 0.0044 harm 0.4452)  [6s, 8,119 win/s]
  ep197  loss 0.0718 (pw 0.0044 harm 0.4430)  [6s, 8,042 win/s]
  ep198  loss 0.0739 (pw 0.0044 harm 0.4424)  [6s, 7,904 win/s]
  ep199  loss 0.0716 (pw 0.0043 harm 0.4443)  [6s, 8,336 win/s]
  ep200  loss 0.0707 (pw 0.0044 harm 0.4437)  |  MAE 3.581W  F1 0.9668  저항3종 0.995  잔차 22.5W  [6s 학습 / 0s 평가, 7,855 win/s]
  ep201  loss 0.0713 (pw 0.0044 harm 0.4445)  [6s, 8,151 win/s]
  ep202  loss 0.0713 (pw 0.0043 harm 0.4390)  [6s, 8,082 win/s]
  ep203  loss 0.0702 (pw 0.0043 harm 0.4426)  [6s, 7,874 win/s]
  ep204  loss 0.0715 (pw 0.0044 harm 0.4409)  [6s, 8,283 win/s]
  ep205  loss 0.0711 (pw 0.0044 harm 0.4432)  [6s, 7,786 win/s]
