====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_smpsf — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep112  loss 0.0880 (pw 0.0047 harm 0.4762)  [5s, 9,361 win/s]
  ep113  loss 0.0883 (pw 0.0046 harm 0.4751)  [5s, 9,436 win/s]
  ep114  loss 0.0875 (pw 0.0047 harm 0.4762)  [5s, 9,464 win/s]
  ep115  loss 0.0876 (pw 0.0047 harm 0.4745)  [5s, 9,423 win/s]
  ep116  loss 0.0869 (pw 0.0046 harm 0.4746)  [5s, 9,379 win/s]
  ep117  loss 0.0874 (pw 0.0047 harm 0.4766)  [5s, 9,481 win/s]
  ep118  loss 0.0867 (pw 0.0046 harm 0.4756)  [5s, 9,472 win/s]
  ep119  loss 0.0849 (pw 0.0046 harm 0.4752)  [5s, 9,371 win/s]
  ep120  loss 0.0847 (pw 0.0046 harm 0.4731)  |  MAE 3.689W  F1 0.9630  저항3종 0.995  잔차 24.5W  [5s 학습 / 0s 평가, 9,483 win/s]
  ep121  loss 0.0848 (pw 0.0046 harm 0.4751)  [5s, 9,482 win/s]
  ep122  loss 0.0873 (pw 0.0047 harm 0.4749)  [5s, 9,570 win/s]
  ep123  loss 0.0857 (pw 0.0046 harm 0.4744)  [5s, 9,396 win/s]
  ep124  loss 0.0845 (pw 0.0046 harm 0.4728)  [5s, 9,489 win/s]
  ep125  loss 0.0846 (pw 0.0046 harm 0.4733)  [5s, 9,565 win/s]
  ep126  loss 0.0843 (pw 0.0046 harm 0.4738)  [5s, 9,441 win/s]
  ep127  loss 0.0860 (pw 0.0047 harm 0.4743)  [5s, 9,414 win/s]
  ep128  loss 0.0841 (pw 0.0046 harm 0.4723)  [5s, 9,283 win/s]
  ep129  loss 0.0837 (pw 0.0046 harm 0.4734)  [5s, 9,533 win/s]
  ep130  loss 0.0837 (pw 0.0047 harm 0.4707)  |  MAE 3.454W  F1 0.9660  저항3종 0.994  잔차 24.4W  [5s 학습 / 0s 평가, 9,423 win/s]
  ep131  loss 0.0826 (pw 0.0045 harm 0.4735)  [5s, 9,461 win/s]
  ep132  loss 0.0831 (pw 0.0046 harm 0.4733)  [5s, 9,523 win/s]
  ep133  loss 0.0836 (pw 0.0046 harm 0.4734)  [5s, 9,435 win/s]
  ep134  loss 0.0812 (pw 0.0046 harm 0.4735)  [5s, 9,479 win/s]
