====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 92db1dfee4dabbdd | 타깃 3059/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_la9 — 독립 창 300,000개 (23.4GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 71  loss 0.1657 (pw 0.0009 harm 1.4061)  [7s, 7,067 win/s]
  ep 72  loss 0.1631 (pw 0.0010 harm 1.3707)  [7s, 7,164 win/s]
  ep 73  loss 0.1662 (pw 0.0009 harm 1.4166)  [7s, 7,123 win/s]
  ep 74  loss 0.1663 (pw 0.0010 harm 1.4034)  [7s, 7,089 win/s]
  ep 75  loss 0.1637 (pw 0.0009 harm 1.3906)  [7s, 7,088 win/s]
  ep 76  loss 0.1637 (pw 0.0010 harm 1.3801)  [7s, 7,169 win/s]
  ep 77  loss 0.1608 (pw 0.0010 harm 1.3555)  [7s, 7,123 win/s]
  ep 78  loss 0.1622 (pw 0.0009 harm 1.3768)  [7s, 7,157 win/s]
  ep 79  loss 0.1631 (pw 0.0009 harm 1.3900)  [7s, 7,196 win/s]
  ep 80  loss 0.1608 (pw 0.0010 harm 1.3539)  |  MAE 3.066W  F1 0.9707  저항3종 1.000  잔차 25.5W  [7s 학습 / 0s 평가, 7,128 win/s]
  ep 81  loss 0.1621 (pw 0.0010 harm 1.3706)  [7s, 7,196 win/s]
  ep 82  loss 0.1621 (pw 0.0010 harm 1.3725)  [7s, 7,152 win/s]
  ep 83  loss 0.1631 (pw 0.0009 harm 1.3881)  [7s, 7,166 win/s]
  ep 84  loss 0.1597 (pw 0.0009 harm 1.3591)  [7s, 7,152 win/s]
  ep 85  loss 0.1624 (pw 0.0009 harm 1.3904)  [7s, 7,169 win/s]
  ep 86  loss 0.1622 (pw 0.0010 harm 1.3798)  [7s, 7,146 win/s]
  ep 87  loss 0.1621 (pw 0.0009 harm 1.3804)  [7s, 7,165 win/s]
  ep 88  loss 0.1644 (pw 0.0009 harm 1.4091)  [7s, 7,158 win/s]
  ep 89  loss 0.1624 (pw 0.0010 harm 1.3936)  [7s, 7,165 win/s]
  ep 90  loss 0.1636 (pw 0.0009 harm 1.4005)  |  MAE 3.106W  F1 0.9719  저항3종 1.000  잔차 26.0W  [7s 학습 / 0s 평가, 7,173 win/s]
  ep 91  loss 0.1595 (pw 0.0009 harm 1.3640)  [7s, 7,188 win/s]
  ep 92  loss 0.1582 (pw 0.0009 harm 1.3522)  [7s, 7,222 win/s]
  ep 93  loss 0.1622 (pw 0.0009 harm 1.3886)  [7s, 7,209 win/s]
  ep 94  loss 0.1584 (pw 0.0009 harm 1.3636)  [7s, 7,204 win/s]
  ep 95  loss 0.1616 (pw 0.0009 harm 1.3884)  [7s, 7,221 win/s]
  ep 96  loss 0.1589 (pw 0.0009 harm 1.3658)  [7s, 7,206 win/s]
  ep 97  loss 0.1569 (pw 0.0008 harm 1.3637)  [7s, 7,186 win/s]
  ep 98  loss 0.1642 (pw 0.0009 harm 1.4118)  [7s, 7,177 win/s]
  ep 99  loss 0.1613 (pw 0.0009 harm 1.3909)  [7s, 7,201 win/s]
  ep100  loss 0.1597 (pw 0.0009 harm 1.3763)  |  MAE 2.983W  F1 0.9757  저항3종 1.000  잔차 25.3W  [7s 학습 / 0s 평가, 7,173 win/s]
  ep101  loss 0.1609 (pw 0.0009 harm 1.3898)  [7s, 7,198 win/s]
  ep102  loss 0.1572 (pw 0.0009 harm 1.3679)  [7s, 7,185 win/s]
