====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.62M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_hw — 독립 창 300,000개 (22.1GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep129  loss 0.0722 (pw 0.0014 harm 0.3958)  [5s, 9,417 win/s]
  ep130  loss 0.0728 (pw 0.0014 harm 0.3945)  |  MAE 3.526W  F1 0.9267  저항3종 0.997  잔차 24.4W  [5s 학습 / 0s 평가, 9,402 win/s]
  ep131  loss 0.0714 (pw 0.0013 harm 0.3968)  [5s, 9,420 win/s]
  ep132  loss 0.0717 (pw 0.0014 harm 0.3970)  [5s, 9,429 win/s]
  ep133  loss 0.0720 (pw 0.0013 harm 0.3962)  [5s, 9,400 win/s]
  ep134  loss 0.0703 (pw 0.0013 harm 0.3967)  [5s, 9,400 win/s]
  ep135  loss 0.0734 (pw 0.0014 harm 0.3940)  [5s, 9,413 win/s]
  ep136  loss 0.0735 (pw 0.0014 harm 0.3964)  [5s, 9,422 win/s]
  ep137  loss 0.0718 (pw 0.0014 harm 0.3919)  [5s, 9,402 win/s]
  ep138  loss 0.0727 (pw 0.0014 harm 0.3968)  [5s, 9,402 win/s]
  ep139  loss 0.0703 (pw 0.0013 harm 0.3932)  [5s, 9,420 win/s]
  ep140  loss 0.0699 (pw 0.0013 harm 0.3948)  |  MAE 3.280W  F1 0.9241  저항3종 0.998  잔차 23.7W  [5s 학습 / 0s 평가, 9,380 win/s]
  ep141  loss 0.0728 (pw 0.0014 harm 0.3969)  [5s, 9,364 win/s]
  ep142  loss 0.0715 (pw 0.0013 harm 0.3947)  [5s, 9,404 win/s]
  ep143  loss 0.0714 (pw 0.0014 harm 0.3917)  [5s, 9,419 win/s]
  ep144  loss 0.0694 (pw 0.0013 harm 0.3923)  [5s, 9,365 win/s]
  ep145  loss 0.0701 (pw 0.0013 harm 0.3961)  [5s, 9,383 win/s]
  ep146  loss 0.0707 (pw 0.0014 harm 0.3919)  [5s, 9,398 win/s]
  ep147  loss 0.0704 (pw 0.0013 harm 0.3938)  [5s, 9,390 win/s]
  ep148  loss 0.0693 (pw 0.0013 harm 0.3954)  [5s, 9,286 win/s]
  ep149  loss 0.0694 (pw 0.0013 harm 0.3923)  [5s, 9,356 win/s]
  ep150  loss 0.0700 (pw 0.0013 harm 0.3949)  |  MAE 3.585W  F1 0.9278  저항3종 0.993  잔차 24.2W  [5s 학습 / 0s 평가, 9,453 win/s]
  ep151  loss 0.0714 (pw 0.0014 harm 0.3922)  [5s, 9,239 win/s]
  ep152  loss 0.0701 (pw 0.0013 harm 0.3948)  [5s, 9,346 win/s]
  ep153  loss 0.0699 (pw 0.0013 harm 0.3973)  [5s, 9,400 win/s]
  ep154  loss 0.0687 (pw 0.0013 harm 0.3955)  [5s, 9,419 win/s]
  ep155  loss 0.0690 (pw 0.0013 harm 0.3930)  [5s, 9,282 win/s]
  ep156  loss 0.0727 (pw 0.0014 harm 0.3946)  [5s, 9,384 win/s]
  ep157  loss 0.0696 (pw 0.0013 harm 0.3952)  [5s, 9,439 win/s]
  ep158  loss 0.0725 (pw 0.0014 harm 0.3947)  [5s, 9,306 win/s]
  ep159  loss 0.0694 (pw 0.0013 harm 0.3900)  [5s, 9,281 win/s]
  ep160  loss 0.0687 (pw 0.0013 harm 0.3933)  |  MAE 3.288W  F1 0.9279  저항3종 0.997  잔차 23.7W  [5s 학습 / 0s 평가, 9,400 win/s]
  ep161  loss 0.0699 (pw 0.0013 harm 0.3930)  [5s, 9,401 win/s]
  ep162  loss 0.0692 (pw 0.0013 harm 0.3956)  [5s, 9,217 win/s]
  ep163  loss 0.0705 (pw 0.0013 harm 0.3946)  [5s, 9,351 win/s]
  ep164  loss 0.0697 (pw 0.0013 harm 0.3936)  [5s, 9,393 win/s]
  ep165  loss 0.0688 (pw 0.0013 harm 0.3914)  [5s, 9,245 win/s]
  ep166  loss 0.0682 (pw 0.0013 harm 0.3944)  [5s, 9,260 win/s]
  ep167  loss 0.0700 (pw 0.0013 harm 0.3926)  [5s, 9,351 win/s]
  ep168  loss 0.0687 (pw 0.0013 harm 0.3949)  [5s, 9,375 win/s]
  ep169  loss 0.0687 (pw 0.0013 harm 0.3903)  [5s, 9,202 win/s]
  ep170  loss 0.0692 (pw 0.0013 harm 0.3919)  |  MAE 4.880W  F1 0.9253  저항3종 0.977  잔차 25.3W  [5s 학습 / 0s 평가, 9,318 win/s]
  ep171  loss 0.0698 (pw 0.0013 harm 0.3963)  [5s, 9,364 win/s]
  ep172  loss 0.0686 (pw 0.0013 harm 0.3938)  [5s, 9,260 win/s]
  ep173  loss 0.0670 (pw 0.0013 harm 0.3922)  [5s, 9,272 win/s]
  ep174  loss 0.0684 (pw 0.0013 harm 0.3904)  [5s, 9,337 win/s]
  ep175  loss 0.0679 (pw 0.0013 harm 0.3933)  [5s, 9,432 win/s]
  ep176  loss 0.0668 (pw 0.0013 harm 0.3911)  [5s, 9,184 win/s]
  ep177  loss 0.0682 (pw 0.0013 harm 0.3894)  [5s, 9,275 win/s]
  ep178  loss 0.0677 (pw 0.0013 harm 0.3923)  [5s, 9,333 win/s]
  ep179  loss 0.0687 (pw 0.0013 harm 0.3959)  [5s, 9,299 win/s]
  ep180  loss 0.0673 (pw 0.0013 harm 0.3919)  |  MAE 3.566W  F1 0.9279  저항3종 0.995  잔차 23.9W  [5s 학습 / 0s 평가, 9,265 win/s]
  ep181  loss 0.0684 (pw 0.0013 harm 0.3929)  [5s, 9,329 win/s]
  ep182  loss 0.0683 (pw 0.0013 harm 0.3962)  [5s, 9,356 win/s]
  ep183  loss 0.0682 (pw 0.0013 harm 0.3913)  [5s, 9,239 win/s]
  ep184  loss 0.0683 (pw 0.0013 harm 0.3935)  [5s, 9,322 win/s]
  ep185  loss 0.0664 (pw 0.0013 harm 0.3942)  [5s, 9,326 win/s]
  ep186  loss 0.0670 (pw 0.0013 harm 0.3934)  [5s, 9,376 win/s]
  ep187  loss 0.0676 (pw 0.0013 harm 0.3930)  [5s, 9,187 win/s]
  ep188  loss 0.0661 (pw 0.0012 harm 0.3945)  [5s, 9,288 win/s]
  ep189  loss 0.0677 (pw 0.0013 harm 0.3923)  [5s, 9,384 win/s]
  ep190  loss 0.0661 (pw 0.0012 harm 0.3922)  |  MAE 3.469W  F1 0.9291  저항3종 0.994  잔차 23.4W  [5s 학습 / 0s 평가, 9,282 win/s]
  ep191  loss 0.0662 (pw 0.0012 harm 0.3913)  [5s, 9,260 win/s]
  ep192  loss 0.0673 (pw 0.0013 harm 0.3922)  [5s, 9,343 win/s]
  ep193  loss 0.0673 (pw 0.0013 harm 0.3889)  [5s, 9,381 win/s]
  ep194  loss 0.0667 (pw 0.0013 harm 0.3900)  [5s, 9,147 win/s]
  ep195  loss 0.0663 (pw 0.0012 harm 0.3921)  [5s, 9,369 win/s]
  ep196  loss 0.0664 (pw 0.0013 harm 0.3946)  [5s, 9,363 win/s]
  ep197  loss 0.0658 (pw 0.0012 harm 0.3881)  [5s, 9,304 win/s]
  ep198  loss 0.0680 (pw 0.0013 harm 0.3917)  [5s, 9,196 win/s]
  ep199  loss 0.0667 (pw 0.0013 harm 0.3967)  [5s, 9,327 win/s]
  ep200  loss 0.0658 (pw 0.0012 harm 0.3912)  |  MAE 3.699W  F1 0.9277  저항3종 0.991  잔차 23.3W  [5s 학습 / 0s 평가, 9,276 win/s]
  ep201  loss 0.0659 (pw 0.0012 harm 0.3910)  [5s, 9,173 win/s]
  ep202  loss 0.0661 (pw 0.0012 harm 0.3904)  [5s, 9,313 win/s]
  ep203  loss 0.0651 (pw 0.0012 harm 0.3926)  [5s, 9,292 win/s]
  ep204  loss 0.0657 (pw 0.0012 harm 0.3907)  [5s, 9,273 win/s]
  ep205  loss 0.0655 (pw 0.0012 harm 0.3920)  [5s, 9,154 win/s]
  ep206  loss 0.0648 (pw 0.0012 harm 0.3905)  [5s, 9,365 win/s]
  ep207  loss 0.0662 (pw 0.0012 harm 0.3897)  [5s, 9,379 win/s]
  ep208  loss 0.0657 (pw 0.0012 harm 0.3907)  [5s, 9,212 win/s]
  ep209  loss 0.0643 (pw 0.0012 harm 0.3884)  [5s, 9,249 win/s]
  ep210  loss 0.0648 (pw 0.0012 harm 0.3898)  |  MAE 3.705W  F1 0.9271  저항3종 0.992  잔차 23.8W  [5s 학습 / 0s 평가, 9,320 win/s]
  ep211  loss 0.0647 (pw 0.0012 harm 0.3925)  [5s, 9,307 win/s]
  ep212  loss 0.0647 (pw 0.0012 harm 0.3902)  [5s, 9,155 win/s]
  ep213  loss 0.0645 (pw 0.0012 harm 0.3904)  [5s, 9,316 win/s]
  ep214  loss 0.0641 (pw 0.0012 harm 0.3909)  [5s, 9,321 win/s]
  ep215  loss 0.0646 (pw 0.0012 harm 0.3917)  [5s, 9,214 win/s]
  ep216  loss 0.0657 (pw 0.0012 harm 0.3940)  [5s, 9,307 win/s]
  ep217  loss 0.0640 (pw 0.0012 harm 0.3900)  [5s, 9,238 win/s]
  ep218  loss 0.0653 (pw 0.0012 harm 0.3936)  [5s, 9,367 win/s]
  ep219  loss 0.0653 (pw 0.0012 harm 0.3921)  [5s, 9,189 win/s]
  ep220  loss 0.0647 (pw 0.0012 harm 0.3933)  |  MAE 3.577W  F1 0.9266  저항3종 0.991  잔차 23.3W  [5s 학습 / 0s 평가, 9,315 win/s]
  ep221  loss 0.0657 (pw 0.0012 harm 0.3959)  [5s, 9,369 win/s]
  ep222  loss 0.0642 (pw 0.0012 harm 0.3923)  [5s, 9,171 win/s]
  ep223  loss 0.0654 (pw 0.0012 harm 0.3889)  [5s, 9,240 win/s]
  ep224  loss 0.0642 (pw 0.0012 harm 0.3914)  [5s, 9,361 win/s]
  ep225  loss 0.0641 (pw 0.0012 harm 0.3905)  [5s, 9,363 win/s]
  ep226  loss 0.0642 (pw 0.0012 harm 0.3895)  [5s, 9,137 win/s]
  ep227  loss 0.0645 (pw 0.0012 harm 0.3912)  [5s, 9,343 win/s]
  ep228  loss 0.0645 (pw 0.0012 harm 0.3933)  [5s, 9,345 win/s]
  ep229  loss 0.0645 (pw 0.0012 harm 0.3890)  [5s, 9,288 win/s]
  ep230  loss 0.0652 (pw 0.0012 harm 0.3908)  |  MAE 3.517W  F1 0.9282  저항3종 0.994  잔차 23.5W  [5s 학습 / 0s 평가, 9,119 win/s]
  ep231  loss 0.0635 (pw 0.0012 harm 0.3892)  [5s, 9,284 win/s]
  ep232  loss 0.0642 (pw 0.0012 harm 0.3933)  [5s, 9,390 win/s]
  ep233  loss 0.0649 (pw 0.0012 harm 0.3931)  [6s, 9,045 win/s]
  ep234  loss 0.0645 (pw 0.0012 harm 0.3909)  [5s, 9,275 win/s]
  ep235  loss 0.0635 (pw 0.0012 harm 0.3928)  [5s, 9,368 win/s]
  ep236  loss 0.0646 (pw 0.0012 harm 0.3964)  [5s, 9,287 win/s]
  ep237  loss 0.0631 (pw 0.0012 harm 0.3930)  [5s, 9,168 win/s]
  ep238  loss 0.0643 (pw 0.0012 harm 0.3870)  [5s, 9,342 win/s]
  ep239  loss 0.0633 (pw 0.0012 harm 0.3925)  [5s, 9,362 win/s]
  ep240  loss 0.0643 (pw 0.0012 harm 0.3893)  |  MAE 3.365W  F1 0.9279  저항3종 0.996  잔차 23.4W  [5s 학습 / 0s 평가, 9,152 win/s]
  ep241  loss 0.0638 (pw 0.0012 harm 0.3882)  [5s, 9,304 win/s]
  ep242  loss 0.0631 (pw 0.0012 harm 0.3895)  [5s, 9,337 win/s]
  ep243  loss 0.0631 (pw 0.0012 harm 0.3914)  [5s, 9,301 win/s]
  ep244  loss 0.0634 (pw 0.0012 harm 0.3919)  [5s, 9,219 win/s]
  ep245  loss 0.0631 (pw 0.0012 harm 0.3900)  [5s, 9,245 win/s]
  ep246  loss 0.0633 (pw 0.0011 harm 0.3883)  [5s, 9,362 win/s]
  ep247  loss 0.0631 (pw 0.0012 harm 0.3925)  [5s, 9,249 win/s]
  ep248  loss 0.0638 (pw 0.0012 harm 0.3904)  [5s, 9,229 win/s]
  ep249  loss 0.0634 (pw 0.0012 harm 0.3909)  [5s, 9,378 win/s]
  ep250  loss 0.0633 (pw 0.0012 harm 0.3911)  |  MAE 3.340W  F1 0.9281  저항3종 0.997  잔차 23.2W  [5s 학습 / 0s 평가, 9,368 win/s]
  ep251  loss 0.0634 (pw 0.0012 harm 0.3881)  [5s, 9,188 win/s]
  ep252  loss 0.0633 (pw 0.0012 harm 0.3917)  [5s, 9,368 win/s]
  ep253  loss 0.0626 (pw 0.0012 harm 0.3907)  [5s, 9,374 win/s]
  ep254  loss 0.0640 (pw 0.0012 harm 0.3958)  [5s, 9,168 win/s]
  ep255  loss 0.0633 (pw 0.0012 harm 0.3907)  [5s, 9,289 win/s]
  ep256  loss 0.0625 (pw 0.0012 harm 0.3930)  [5s, 9,289 win/s]
  ep257  loss 0.0628 (pw 0.0011 harm 0.3874)  [5s, 9,342 win/s]
  ep258  loss 0.0641 (pw 0.0012 harm 0.3931)  [6s, 9,078 win/s]
  ep259  loss 0.0633 (pw 0.0012 harm 0.3921)  [5s, 9,343 win/s]
  ep260  loss 0.0633 (pw 0.0012 harm 0.3917)  |  MAE 3.284W  F1 0.9285  저항3종 0.995  잔차 23.2W  [5s 학습 / 0s 평가, 9,329 win/s]
  ep261  loss 0.0629 (pw 0.0012 harm 0.3885)  [5s, 9,242 win/s]
