====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_psmeasured — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep101  loss 0.2243 (pw 0.0026 harm 1.7697)  [5s, 9,658 win/s]
  ep102  loss 0.2210 (pw 0.0024 harm 1.7855)  [5s, 9,657 win/s]
  ep103  loss 0.2214 (pw 0.0024 harm 1.7932)  [5s, 9,670 win/s]
  ep104  loss 0.2210 (pw 0.0025 harm 1.7781)  [5s, 9,661 win/s]
  ep105  loss 0.2232 (pw 0.0026 harm 1.7548)  [5s, 9,526 win/s]
  ep106  loss 0.2253 (pw 0.0026 harm 1.7803)  [5s, 9,430 win/s]
  ep107  loss 0.2217 (pw 0.0025 harm 1.7637)  [5s, 9,653 win/s]
  ep108  loss 0.2209 (pw 0.0025 harm 1.7660)  [5s, 9,607 win/s]
  ep109  loss 0.2195 (pw 0.0024 harm 1.7740)  [5s, 9,663 win/s]
  ep110  loss 0.2209 (pw 0.0025 harm 1.7633)  |  MAE 3.469W  F1 0.9250  저항3종 0.994  잔차 26.0W  [5s 학습 / 0s 평가, 9,629 win/s]
  ep111  loss 0.2208 (pw 0.0025 harm 1.7556)  [5s, 9,621 win/s]
  ep112  loss 0.2216 (pw 0.0025 harm 1.7664)  [5s, 9,640 win/s]
  ep113  loss 0.2214 (pw 0.0025 harm 1.7597)  [5s, 9,644 win/s]
  ep114  loss 0.2185 (pw 0.0025 harm 1.7459)  [5s, 9,639 win/s]
  ep115  loss 0.2206 (pw 0.0025 harm 1.7650)  [5s, 9,636 win/s]
  ep116  loss 0.2212 (pw 0.0025 harm 1.7730)  [5s, 9,657 win/s]
  ep117  loss 0.2210 (pw 0.0024 harm 1.7708)  [5s, 9,634 win/s]
