====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_oddmag — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 79  loss 0.3628 (pw 0.0011 harm 3.3227)  [5s, 9,402 win/s]
  ep 80  loss 0.3667 (pw 0.0012 harm 3.3456)  |  MAE 3.112W  F1 0.9757  저항3종 0.999  잔차 24.1W  [6s 학습 / 0s 평가, 9,010 win/s]
  ep 81  loss 0.3777 (pw 0.0013 harm 3.4488)  [5s, 9,397 win/s]
  ep 82  loss 0.3758 (pw 0.0012 harm 3.4343)  [5s, 9,307 win/s]
  ep 83  loss 0.3627 (pw 0.0012 harm 3.3195)  [5s, 9,366 win/s]
  ep 84  loss 0.3703 (pw 0.0011 harm 3.3983)  [5s, 9,327 win/s]
  ep 85  loss 0.3584 (pw 0.0011 harm 3.2916)  [5s, 9,323 win/s]
  ep 86  loss 0.3634 (pw 0.0012 harm 3.3227)  [5s, 9,311 win/s]
  ep 87  loss 0.3833 (pw 0.0012 harm 3.5156)  [7s, 6,891 win/s]
  ep 88  loss 0.3628 (pw 0.0011 harm 3.3303)  [5s, 9,479 win/s]
  ep 89  loss 0.3743 (pw 0.0011 harm 3.4490)  [5s, 9,476 win/s]
  ep 90  loss 0.3703 (pw 0.0012 harm 3.4064)  |  MAE 3.184W  F1 0.9739  저항3종 0.999  잔차 24.6W  [5s 학습 / 0s 평가, 9,509 win/s]
  ep 91  loss 0.3676 (pw 0.0011 harm 3.3728)  [5s, 9,509 win/s]
  ep 92  loss 0.3638 (pw 0.0011 harm 3.3471)  [5s, 9,527 win/s]
  ep 93  loss 0.3738 (pw 0.0011 harm 3.4448)  [5s, 9,364 win/s]
  ep 94  loss 0.3628 (pw 0.0011 harm 3.3402)  [5s, 9,292 win/s]
  ep 95  loss 0.3645 (pw 0.0011 harm 3.3580)  [6s, 8,969 win/s]
  ep 96  loss 0.3594 (pw 0.0011 harm 3.3141)  [5s, 9,365 win/s]
  ep 97  loss 0.3638 (pw 0.0010 harm 3.3685)  [5s, 9,361 win/s]
  ep 98  loss 0.3744 (pw 0.0012 harm 3.4434)  [5s, 9,355 win/s]
  ep 99  loss 0.3654 (pw 0.0011 harm 3.3687)  [5s, 9,368 win/s]
  ep100  loss 0.3637 (pw 0.0011 harm 3.3481)  |  MAE 3.141W  F1 0.9790  저항3종 1.000  잔차 24.9W  [5s 학습 / 0s 평가, 9,371 win/s]
  ep101  loss 0.3766 (pw 0.0011 harm 3.4739)  [5s, 9,381 win/s]
  ep102  loss 0.3644 (pw 0.0010 harm 3.3831)  [5s, 9,303 win/s]
  ep103  loss 0.3690 (pw 0.0010 harm 3.4367)  [5s, 9,321 win/s]
  ep104  loss 0.3602 (pw 0.0010 harm 3.3329)  [5s, 9,311 win/s]
  ep105  loss 0.3652 (pw 0.0011 harm 3.3624)  [5s, 9,324 win/s]
  ep106  loss 0.3592 (pw 0.0011 harm 3.3048)  [5s, 9,343 win/s]
  ep107  loss 0.3651 (pw 0.0011 harm 3.3796)  [5s, 9,367 win/s]
  ep108  loss 0.3672 (pw 0.0011 harm 3.4064)  [5s, 9,359 win/s]
  ep109  loss 0.3665 (pw 0.0011 harm 3.4036)  [5s, 9,477 win/s]
  ep110  loss 0.3731 (pw 0.0011 harm 3.4519)  |  MAE 3.069W  F1 0.9800  저항3종 0.997  잔차 23.7W  [5s 학습 / 0s 평가, 9,501 win/s]
  ep111  loss 0.3790 (pw 0.0011 harm 3.5119)  [5s, 9,498 win/s]
  ep112  loss 0.3675 (pw 0.0011 harm 3.3992)  [5s, 9,494 win/s]
  ep113  loss 0.3648 (pw 0.0011 harm 3.3718)  [5s, 9,509 win/s]
  ep114  loss 0.3696 (pw 0.0011 harm 3.4240)  [5s, 9,518 win/s]
  ep115  loss 0.3621 (pw 0.0011 harm 3.3470)  [5s, 9,510 win/s]
  ep116  loss 0.3632 (pw 0.0011 harm 3.3670)  [5s, 9,512 win/s]
  ep117  loss 0.3591 (pw 0.0011 harm 3.3240)  [5s, 9,517 win/s]
  ep118  loss 0.3595 (pw 0.0010 harm 3.3324)  [5s, 9,517 win/s]
  ep119  loss 0.3582 (pw 0.0010 harm 3.3310)  [5s, 9,465 win/s]
  ep120  loss 0.3698 (pw 0.0011 harm 3.4408)  |  MAE 3.149W  F1 0.9769  저항3종 0.998  잔차 24.9W  [5s 학습 / 0s 평가, 9,495 win/s]
  ep121  loss 0.3615 (pw 0.0010 harm 3.3668)  [5s, 9,526 win/s]
  ep122  loss 0.3642 (pw 0.0011 harm 3.3718)  [5s, 9,503 win/s]
  ep123  loss 0.3707 (pw 0.0010 harm 3.4539)  [5s, 9,536 win/s]
  ep124  loss 0.3594 (pw 0.0010 harm 3.3445)  [5s, 9,649 win/s]
  ep125  loss 0.3769 (pw 0.0011 harm 3.5132)  [5s, 9,674 win/s]
  ep126  loss 0.3670 (pw 0.0010 harm 3.4204)  [5s, 9,648 win/s]
