====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_ze1 — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 90  loss 0.0725 (pw 0.0016 harm 0.3952)  |  MAE 4.200W  F1 0.9624  저항3종 0.991  잔차 25.3W  [5s 학습 / 0s 평가, 9,601 win/s]
  ep 91  loss 0.0722 (pw 0.0016 harm 0.3942)  [5s, 9,598 win/s]
  ep 92  loss 0.0718 (pw 0.0016 harm 0.3944)  [5s, 9,607 win/s]
  ep 93  loss 0.0712 (pw 0.0016 harm 0.3911)  [5s, 9,559 win/s]
  ep 94  loss 0.0719 (pw 0.0016 harm 0.3965)  [5s, 9,530 win/s]
  ep 95  loss 0.0709 (pw 0.0015 harm 0.3954)  [5s, 9,534 win/s]
  ep 96  loss 0.0705 (pw 0.0016 harm 0.3937)  [5s, 9,449 win/s]
  ep 97  loss 0.0695 (pw 0.0015 harm 0.3957)  [5s, 9,539 win/s]
  ep 98  loss 0.0717 (pw 0.0016 harm 0.3894)  [5s, 9,544 win/s]
  ep 99  loss 0.0706 (pw 0.0015 harm 0.3953)  [5s, 9,581 win/s]
  ep100  loss 0.0712 (pw 0.0016 harm 0.3934)  |  MAE 3.547W  F1 0.9652  저항3종 0.994  잔차 23.6W  [5s 학습 / 0s 평가, 9,588 win/s]
  ep101  loss 0.0715 (pw 0.0016 harm 0.3918)  [5s, 9,576 win/s]
  ep102  loss 0.0683 (pw 0.0015 harm 0.3930)  [5s, 9,578 win/s]
  ep103  loss 0.0681 (pw 0.0015 harm 0.3927)  [5s, 9,585 win/s]
  ep104  loss 0.0698 (pw 0.0016 harm 0.3925)  [5s, 9,564 win/s]
  ep105  loss 0.0715 (pw 0.0016 harm 0.3964)  [5s, 9,554 win/s]
  ep106  loss 0.0708 (pw 0.0016 harm 0.3918)  [5s, 9,561 win/s]
  ep107  loss 0.0699 (pw 0.0015 harm 0.3941)  [5s, 9,544 win/s]
  ep108  loss 0.0682 (pw 0.0015 harm 0.3889)  [5s, 9,553 win/s]
  ep109  loss 0.0683 (pw 0.0015 harm 0.3918)  [5s, 9,557 win/s]
  ep110  loss 0.0689 (pw 0.0015 harm 0.3898)  |  MAE 3.406W  F1 0.9668  저항3종 0.997  잔차 24.6W  [5s 학습 / 0s 평가, 9,558 win/s]
  ep111  loss 0.0700 (pw 0.0016 harm 0.3908)  [5s, 9,549 win/s]
