### [fd0.2 재학습, 순서 복구 후] Sat Aug 22 22:14:02     2026
====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_v17 — 독립 창 300,000개 (14.6GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 96  loss 0.1872 (pw 0.0018 harm 1.4752)  [11s, 4,510 win/s]
  ep 97  loss 0.1843 (pw 0.0017 harm 1.4540)  [11s, 4,443 win/s]
  ep 98  loss 0.1881 (pw 0.0017 harm 1.4742)  [11s, 4,501 win/s]
  ep 99  loss 0.1841 (pw 0.0017 harm 1.4488)  [11s, 4,527 win/s]
  ep100  loss 0.1863 (pw 0.0017 harm 1.4668)  |  MAE 3.370W  F1 0.9788  저항3종 1.000  잔차 27.5W  [11s 학습 / 1s 평가, 4,490 win/s]
  ep101  loss 0.1858 (pw 0.0018 harm 1.4617)  [11s, 4,503 win/s]
  ep102  loss 0.1872 (pw 0.0017 harm 1.4820)  [11s, 4,478 win/s]
  ep103  loss 0.1838 (pw 0.0017 harm 1.4594)  [11s, 4,418 win/s]
  ep104  loss 0.1846 (pw 0.0017 harm 1.4627)  [11s, 4,441 win/s]
  ep105  loss 0.1850 (pw 0.0017 harm 1.4581)  [11s, 4,490 win/s]
  ep106  loss 0.1832 (pw 0.0017 harm 1.4422)  [11s, 4,507 win/s]
  ep107  loss 0.1858 (pw 0.0016 harm 1.4765)  [11s, 4,405 win/s]
  ep108  loss 0.1850 (pw 0.0016 harm 1.4710)  [11s, 4,393 win/s]
  ep109  loss 0.1817 (pw 0.0016 harm 1.4431)  [11s, 4,493 win/s]
  ep110  loss 0.1869 (pw 0.0017 harm 1.4847)  [11s, 4,458 win/s]
  ep111  loss 0.1839 (pw 0.0017 harm 1.4544)  [11s, 4,411 win/s]
  ep112  loss 0.1839 (pw 0.0017 harm 1.4549)  [11s, 4,436 win/s]
  ep113  loss 0.1825 (pw 0.0017 harm 1.4434)  [11s, 4,508 win/s]
  ep114  loss 0.1808 (pw 0.0016 harm 1.4325)  [11s, 4,478 win/s]
  ep115  loss 0.1844 (pw 0.0017 harm 1.4670)  [11s, 4,386 win/s]
  ep116  loss 0.1830 (pw 0.0016 harm 1.4533)  [11s, 4,409 win/s]
  ep117  loss 0.1819 (pw 0.0016 harm 1.4386)  [11s, 4,454 win/s]
  ep118  loss 0.1806 (pw 0.0016 harm 1.4329)  [11s, 4,401 win/s]
  ep119  loss 0.1842 (pw 0.0016 harm 1.4766)  [11s, 4,381 win/s]
  ep120  loss 0.1841 (pw 0.0017 harm 1.4631)  [11s, 4,422 win/s]
  ep121  loss 0.1802 (pw 0.0016 harm 1.4323)  [11s, 4,463 win/s]
  ep122  loss 0.1811 (pw 0.0017 harm 1.4333)  [11s, 4,391 win/s]
  ep123  loss 0.1803 (pw 0.0016 harm 1.4364)  [11s, 4,492 win/s]
  ep124  loss 0.1821 (pw 0.0017 harm 1.4543)  [11s, 4,480 win/s]
  ep125  loss 0.1822 (pw 0.0016 harm 1.4606)  [11s, 4,507 win/s]
  ep126  loss 0.1815 (pw 0.0016 harm 1.4521)  [11s, 4,512 win/s]
  ep127  loss 0.1828 (pw 0.0016 harm 1.4560)  [11s, 4,467 win/s]
  ep128  loss 0.1826 (pw 0.0016 harm 1.4673)  [11s, 4,367 win/s]
  ep129  loss 0.1832 (pw 0.0016 harm 1.4735)  [11s, 4,488 win/s]
  ep130  loss 0.1830 (pw 0.0016 harm 1.4717)  [11s, 4,432 win/s]
  ep131  loss 0.1792 (pw 0.0015 harm 1.4449)  [11s, 4,425 win/s]
  ep132  loss 0.1820 (pw 0.0016 harm 1.4588)  [11s, 4,478 win/s]
  ep133  loss 0.1788 (pw 0.0016 harm 1.4318)  [11s, 4,412 win/s]
  ep134  loss 0.1811 (pw 0.0015 harm 1.4672)  [11s, 4,424 win/s]
  ep135  loss 0.1811 (pw 0.0016 harm 1.4488)  [11s, 4,434 win/s]
  ep136  loss 0.1797 (pw 0.0016 harm 1.4350)  [11s, 4,415 win/s]
  ep137  loss 0.1803 (pw 0.0016 harm 1.4447)  [11s, 4,456 win/s]
  ep138  loss 0.1820 (pw 0.0015 harm 1.4677)  [11s, 4,459 win/s]
  ep139  loss 0.1842 (pw 0.0016 harm 1.4961)  [11s, 4,451 win/s]
  ep140  loss 0.1810 (pw 0.0015 harm 1.4670)  [11s, 4,425 win/s]
  ep141  loss 0.1807 (pw 0.0015 harm 1.4516)  [11s, 4,458 win/s]
