====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_drop — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep115  loss 0.1573 (pw 0.0009 harm 1.3594)  [5s, 9,458 win/s]
  ep116  loss 0.1579 (pw 0.0009 harm 1.3664)  [5s, 9,413 win/s]
  ep117  loss 0.1592 (pw 0.0009 harm 1.3792)  [5s, 9,413 win/s]
  ep118  loss 0.1577 (pw 0.0009 harm 1.3718)  [5s, 9,437 win/s]
  ep119  loss 0.1591 (pw 0.0009 harm 1.3892)  [5s, 9,468 win/s]
  ep120  loss 0.1598 (pw 0.0009 harm 1.3915)  |  MAE 3.106W  F1 0.9785  저항3종 0.998  잔차 25.0W  [5s 학습 / 0s 평가, 9,441 win/s]
  ep121  loss 0.1571 (pw 0.0009 harm 1.3696)  [5s, 9,402 win/s]
  ep122  loss 0.1590 (pw 0.0009 harm 1.3710)  [5s, 9,464 win/s]
  ep123  loss 0.1590 (pw 0.0009 harm 1.3873)  [5s, 9,442 win/s]
  ep124  loss 0.1574 (pw 0.0009 harm 1.3742)  [5s, 9,400 win/s]
  ep125  loss 0.1583 (pw 0.0009 harm 1.3835)  [5s, 9,238 win/s]
  ep126  loss 0.1571 (pw 0.0009 harm 1.3791)  [5s, 9,598 win/s]
  ep127  loss 0.1561 (pw 0.0009 harm 1.3595)  [5s, 9,669 win/s]
  ep128  loss 0.1552 (pw 0.0009 harm 1.3556)  [5s, 9,605 win/s]
  ep129  loss 0.1560 (pw 0.0009 harm 1.3665)  [5s, 9,652 win/s]
  ep130  loss 0.1565 (pw 0.0009 harm 1.3689)  |  MAE 3.226W  F1 0.9750  저항3종 1.000  잔차 26.4W  [5s 학습 / 0s 평가, 9,696 win/s]
  ep131  loss 0.1559 (pw 0.0008 harm 1.3698)  [5s, 9,645 win/s]
  ep132  loss 0.1536 (pw 0.0008 harm 1.3484)  [5s, 9,612 win/s]
  ep133  loss 0.1569 (pw 0.0008 harm 1.3780)  [5s, 9,693 win/s]
  ep134  loss 0.1542 (pw 0.0008 harm 1.3624)  [5s, 9,703 win/s]
  ep135  loss 0.1593 (pw 0.0009 harm 1.3862)  [5s, 9,664 win/s]
  ep136  loss 0.1560 (pw 0.0009 harm 1.3612)  [5s, 9,704 win/s]
  ep137  loss 0.1587 (pw 0.0008 harm 1.3947)  [5s, 9,693 win/s]
  ep138  loss 0.1576 (pw 0.0009 harm 1.3855)  [5s, 9,716 win/s]
  ep139  loss 0.1549 (pw 0.0008 harm 1.3688)  [5s, 9,650 win/s]
  ep140  loss 0.1544 (pw 0.0008 harm 1.3702)  |  MAE 2.970W  F1 0.9789  저항3종 0.998  잔차 24.4W  [5s 학습 / 0s 평가, 9,683 win/s]
  ep141  loss 0.1572 (pw 0.0009 harm 1.3830)  [5s, 9,704 win/s]
  ep142  loss 0.1561 (pw 0.0008 harm 1.3779)  [5s, 9,726 win/s]
  ep143  loss 0.1600 (pw 0.0009 harm 1.4098)  [5s, 9,592 win/s]
