====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha 94e14306a27e276a | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_smpsm — 독립 창 300,000개 (21.8GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 87  loss 0.0848 (pw 0.0033 harm 0.4485)  [6s, 8,833 win/s]
  ep 88  loss 0.0837 (pw 0.0033 harm 0.4448)  [6s, 8,799 win/s]
  ep 89  loss 0.0830 (pw 0.0033 harm 0.4466)  [6s, 8,776 win/s]
  ep 90  loss 0.0824 (pw 0.0033 harm 0.4391)  |  MAE 3.490W  F1 0.9584  저항3종 0.996  잔차 24.2W  [6s 학습 / 0s 평가, 8,791 win/s]
  ep 91  loss 0.0839 (pw 0.0034 harm 0.4458)  [6s, 8,832 win/s]
  ep 92  loss 0.0825 (pw 0.0033 harm 0.4436)  [6s, 8,760 win/s]
  ep 93  loss 0.0822 (pw 0.0033 harm 0.4438)  [6s, 8,785 win/s]
  ep 94  loss 0.0826 (pw 0.0034 harm 0.4474)  [6s, 8,817 win/s]
  ep 95  loss 0.0819 (pw 0.0033 harm 0.4456)  [6s, 8,744 win/s]
  ep 96  loss 0.0809 (pw 0.0033 harm 0.4385)  [6s, 8,798 win/s]
  ep 97  loss 0.0797 (pw 0.0032 harm 0.4440)  [6s, 8,809 win/s]
  ep 98  loss 0.0833 (pw 0.0034 harm 0.4451)  [6s, 8,800 win/s]
  ep 99  loss 0.0814 (pw 0.0033 harm 0.4445)  [6s, 8,686 win/s]
  ep100  loss 0.0815 (pw 0.0033 harm 0.4429)  |  MAE 3.827W  F1 0.9607  저항3종 0.997  잔차 24.8W  [6s 학습 / 0s 평가, 8,805 win/s]
  ep101  loss 0.0820 (pw 0.0033 harm 0.4464)  [6s, 8,804 win/s]
