====================================================================================
[Phase 3] 2갈래 CNN — 세밀 10초@60Hz + 광역 60초@2Hz, 타깃 끝-1초
====================================================================================
평가: 홀드아웃 8,000창 (뒤 20%) | sha a2f4974fe456dc3b | 타깃 3239/3600
모델 0.61M 파라미터 | 배치 512 | 300 epoch x 50,000창 = 29,100 step | 장치 cuda
손실 가중치: power 1.0 / state .3 / on .3 / plugged .1 / standby .1 / harm 0.1 / cons 0.0 / over 0.0
학습 데이터: 캐시 cache/train60_mix — 독립 창 300,000개 (18.9GB) | epoch 당 50,000창 -> 전체 50.0회 재사용
  ep 79  loss 0.1906 (pw 0.0012 harm 1.6055)  [5s, 9,314 win/s]
  ep 80  loss 0.1888 (pw 0.0013 harm 1.5757)  |  MAE 3.394W  F1 0.9727  저항3종 1.000  잔차 27.5W  [5s 학습 / 0s 평가, 9,347 win/s]
  ep 81  loss 0.1895 (pw 0.0013 harm 1.5866)  [5s, 9,362 win/s]
  ep 82  loss 0.1876 (pw 0.0012 harm 1.5715)  [5s, 9,347 win/s]
  ep 83  loss 0.1870 (pw 0.0013 harm 1.5756)  [5s, 9,366 win/s]
  ep 84  loss 0.1863 (pw 0.0013 harm 1.5668)  [5s, 9,342 win/s]
  ep 85  loss 0.1856 (pw 0.0012 harm 1.5669)  [5s, 9,374 win/s]
  ep 86  loss 0.1905 (pw 0.0013 harm 1.6037)  [5s, 9,337 win/s]
  ep 87  loss 0.1916 (pw 0.0013 harm 1.6202)  [5s, 9,390 win/s]
  ep 88  loss 0.1875 (pw 0.0012 harm 1.5850)  [5s, 9,336 win/s]
  ep 89  loss 0.1859 (pw 0.0012 harm 1.5825)  [5s, 9,379 win/s]
  ep 90  loss 0.1898 (pw 0.0013 harm 1.6063)  |  MAE 3.374W  F1 0.9738  저항3종 1.000  잔차 27.0W  [5s 학습 / 0s 평가, 9,334 win/s]
  ep 91  loss 0.1863 (pw 0.0012 harm 1.5724)  [5s, 9,386 win/s]
  ep 92  loss 0.1855 (pw 0.0012 harm 1.5763)  [5s, 9,345 win/s]
  ep 93  loss 0.1868 (pw 0.0012 harm 1.5913)  [5s, 9,378 win/s]
  ep 94  loss 0.1842 (pw 0.0012 harm 1.5655)  [5s, 9,348 win/s]
  ep 95  loss 0.1845 (pw 0.0012 harm 1.5636)  [5s, 9,372 win/s]
  ep 96  loss 0.1873 (pw 0.0012 harm 1.6017)  [5s, 9,324 win/s]
  ep 97  loss 0.1831 (pw 0.0012 harm 1.5719)  [5s, 9,363 win/s]
  ep 98  loss 0.1899 (pw 0.0012 harm 1.6190)  [5s, 9,335 win/s]
  ep 99  loss 0.1865 (pw 0.0012 harm 1.5870)  [5s, 9,369 win/s]
  ep100  loss 0.1856 (pw 0.0012 harm 1.5829)  |  MAE 3.242W  F1 0.9777  저항3종 0.999  잔차 26.6W  [5s 학습 / 0s 평가, 9,346 win/s]
  ep101  loss 0.1897 (pw 0.0012 harm 1.6213)  [5s, 9,377 win/s]
  ep102  loss 0.1841 (pw 0.0012 harm 1.5848)  [5s, 9,354 win/s]
  ep103  loss 0.1826 (pw 0.0011 harm 1.5772)  [5s, 9,367 win/s]
  ep104  loss 0.1841 (pw 0.0012 harm 1.5768)  [5s, 9,351 win/s]
  ep105  loss 0.1846 (pw 0.0012 harm 1.5744)  [5s, 9,375 win/s]
  ep106  loss 0.1864 (pw 0.0012 harm 1.5881)  [5s, 9,335 win/s]
  ep107  loss 0.1853 (pw 0.0012 harm 1.5890)  [5s, 9,357 win/s]
  ep108  loss 0.1823 (pw 0.0011 harm 1.5739)  [5s, 9,355 win/s]
  ep109  loss 0.1820 (pw 0.0011 harm 1.5726)  [5s, 9,385 win/s]
  ep110  loss 0.1884 (pw 0.0012 harm 1.6192)  |  MAE 3.335W  F1 0.9725  저항3종 1.000  잔차 27.6W  [5s 학습 / 0s 평가, 9,339 win/s]
  ep111  loss 0.1867 (pw 0.0012 harm 1.6012)  [5s, 9,387 win/s]
  ep112  loss 0.1904 (pw 0.0012 harm 1.6370)  [5s, 9,348 win/s]
  ep113  loss 0.1842 (pw 0.0012 harm 1.5797)  [5s, 9,373 win/s]
  ep114  loss 0.1828 (pw 0.0012 harm 1.5676)  [5s, 9,338 win/s]
  ep115  loss 0.1870 (pw 0.0012 harm 1.6084)  [5s, 9,385 win/s]
  ep116  loss 0.1860 (pw 0.0012 harm 1.6020)  [5s, 9,350 win/s]
  ep117  loss 0.1865 (pw 0.0012 harm 1.6137)  [5s, 9,365 win/s]
  ep118  loss 0.1819 (pw 0.0012 harm 1.5696)  [5s, 9,346 win/s]
  ep119  loss 0.1814 (pw 0.0011 harm 1.5730)  [5s, 9,347 win/s]
  ep120  loss 0.1858 (pw 0.0012 harm 1.6100)  |  MAE 3.365W  F1 0.9733  저항3종 1.000  잔차 27.5W  [5s 학습 / 0s 평가, 9,341 win/s]
  ep121  loss 0.1810 (pw 0.0011 harm 1.5663)  [5s, 9,372 win/s]
  ep122  loss 0.1858 (pw 0.0012 harm 1.5979)  [5s, 9,354 win/s]
  ep123  loss 0.1820 (pw 0.0011 harm 1.5757)  [5s, 9,357 win/s]
  ep124  loss 0.1841 (pw 0.0011 harm 1.6019)  [5s, 9,369 win/s]
  ep125  loss 0.1870 (pw 0.0012 harm 1.6275)  [5s, 9,362 win/s]
  ep126  loss 0.1870 (pw 0.0011 harm 1.6328)  [5s, 9,368 win/s]
  ep127  loss 0.1823 (pw 0.0012 harm 1.5731)  [5s, 9,352 win/s]
  ep128  loss 0.1818 (pw 0.0011 harm 1.5835)  [5s, 9,373 win/s]
  ep129  loss 0.1810 (pw 0.0011 harm 1.5768)  [5s, 9,356 win/s]
  ep130  loss 0.1816 (pw 0.0011 harm 1.5808)  |  MAE 3.353W  F1 0.9738  저항3종 1.000  잔차 27.9W  [5s 학습 / 0s 평가, 9,368 win/s]
  ep131  loss 0.1810 (pw 0.0011 harm 1.5787)  [5s, 9,334 win/s]
  ep132  loss 0.1813 (pw 0.0011 harm 1.5791)  [5s, 9,356 win/s]
  ep133  loss 0.1801 (pw 0.0011 harm 1.5725)  [5s, 9,353 win/s]
  ep134  loss 0.1803 (pw 0.0011 harm 1.5868)  [5s, 9,368 win/s]
  ep135  loss 0.1847 (pw 0.0012 harm 1.6018)  [5s, 9,368 win/s]
  ep136  loss 0.1811 (pw 0.0011 harm 1.5692)  [5s, 9,378 win/s]
  ep137  loss 0.1796 (pw 0.0011 harm 1.5681)  [5s, 9,352 win/s]
  ep138  loss 0.1852 (pw 0.0011 harm 1.6124)  [5s, 9,395 win/s]
  ep139  loss 0.1795 (pw 0.0011 harm 1.5785)  [5s, 9,352 win/s]
  ep140  loss 0.1791 (pw 0.0011 harm 1.5788)  |  MAE 3.268W  F1 0.9756  저항3종 1.000  잔차 27.0W  [5s 학습 / 0s 평가, 9,381 win/s]
  ep141  loss 0.1866 (pw 0.0012 harm 1.6273)  [5s, 9,336 win/s]
  ep142  loss 0.1817 (pw 0.0011 harm 1.5904)  [5s, 9,365 win/s]
  ep143  loss 0.1853 (pw 0.0011 harm 1.6209)  [5s, 9,318 win/s]
  ep144  loss 0.1819 (pw 0.0011 harm 1.6106)  [5s, 9,382 win/s]
  ep145  loss 0.1794 (pw 0.0011 harm 1.5805)  [5s, 9,333 win/s]
  ep146  loss 0.1803 (pw 0.0011 harm 1.5838)  [5s, 9,390 win/s]
  ep147  loss 0.1836 (pw 0.0011 harm 1.6157)  [5s, 9,336 win/s]
  ep148  loss 0.1788 (pw 0.0011 harm 1.5801)  [5s, 9,353 win/s]
  ep149  loss 0.1821 (pw 0.0011 harm 1.6111)  [5s, 9,310 win/s]
  ep150  loss 0.1783 (pw 0.0011 harm 1.5695)  |  MAE 3.200W  F1 0.9750  저항3종 1.000  잔차 26.3W  [5s 학습 / 0s 평가, 9,169 win/s]
  ep151  loss 0.1821 (pw 0.0011 harm 1.5937)  [5s, 9,341 win/s]
  ep152  loss 0.1803 (pw 0.0011 harm 1.5835)  [5s, 9,547 win/s]
  ep153  loss 0.1786 (pw 0.0011 harm 1.5741)  [5s, 9,496 win/s]
  ep154  loss 0.1769 (pw 0.0010 harm 1.5684)  [5s, 9,552 win/s]
